state,date,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7,daily_deaths_actual
Alaska,2021-01-06,1,0,14,NA,222,193,306,NA,NA
Alaska,2021-01-07,1,0,15,NA,224,193,314,NA,NA
Alaska,2021-01-08,1,0,15,NA,226,193,323,NA,NA
Alaska,2021-01-09,1,0,15,NA,228,194,336,NA,NA
Alaska,2021-01-10,1,0,13,NA,229,195,343,NA,NA
Alaska,2021-01-11,1,0,14,NA,231,195,351,NA,NA
Alaska,2021-01-12,1,0,13,NA,233,195,360,NA,NA
Alaska,2021-01-13,1,0,15,NA,235,195,368,NA,NA
Alaska,2021-01-14,1,0,15,NA,236,196,376,NA,NA
Alaska,2021-01-15,1,0,15,NA,238,197,383,NA,NA
Alaska,2021-01-16,1,0,16,NA,239,198,396,NA,NA
Alaska,2021-01-17,1,0,16,NA,241,198,404,NA,NA
Alaska,2021-01-18,1,0,15,NA,242,198,420,NA,NA
Arizona,2020-12-21,87,15,283,NA,8065,7993,8261,NA,NA
Arizona,2020-12-22,91,13,309,NA,8170,8041,8445,NA,NA
Arizona,2020-12-23,91,13,318,NA,8270,8092,8628,NA,NA
Arizona,2020-12-24,92,14,363,NA,8376,8154,8818,NA,NA
Arizona,2020-12-25,98,17,335,NA,8490,8211,9043,NA,NA
Arizona,2020-12-26,103,15,346,NA,8606,8265,9206,NA,NA
Arizona,2020-12-27,102,15,390,NA,8744,8335,9440,NA,NA
Arizona,2020-12-28,112,18,416,NA,8862,8402,9729,NA,NA
Arizona,2020-12-29,110,20,382,NA,8996,8473,10021,NA,NA
Arizona,2020-12-30,113,15,423,NA,9132,8544,10223,NA,NA
Arizona,2020-12-31,114,22,427,NA,9264,8617,10424,NA,NA
Arizona,2021-01-01,122,18,440,NA,9404,8708,10683,NA,NA
Arizona,2021-01-02,124,19,477,NA,9548,8788,10991,NA,NA
Arizona,2021-01-03,114,19,446,NA,9691,8869,11197,NA,NA
Arizona,2021-01-04,122,17,476,NA,9824,8933,11564,NA,NA
Arizona,2021-01-05,118,19,415,NA,9962,9004,11831,NA,NA
Arizona,2021-01-06,129,23,478,NA,10122,9094,12192,NA,NA
Arizona,2021-01-07,136,22,508,NA,10293,9162,12690,NA,NA
Arizona,2021-01-08,134,21,517,NA,10460,9229,12953,NA,NA
Arizona,2021-01-09,133,22,508,NA,10611,9320,13172,NA,NA
Arizona,2021-01-10,139,21,565,NA,10764,9402,13497,NA,NA
Arizona,2021-01-11,144,20,539,NA,10916,9488,13785,NA,NA
Arizona,2021-01-12,142,20,589,NA,11100,9540,14210,NA,NA
Arizona,2021-01-13,148,22,598,NA,11272,9617,14641,NA,NA
Arizona,2021-01-14,148,20,575,NA,11452,9703,14958,NA,NA
Arizona,2021-01-15,145,20,623,NA,11594,9775,15375,NA,NA
Arizona,2021-01-16,158,22,588,NA,11756,9856,15712,NA,NA
Arizona,2021-01-17,150,26,622,NA,11934,9936,16102,NA,NA
Arizona,2021-01-18,151,25,652,NA,12126,10030,16422,NA,NA
Arkansas,2020-12-21,45,15,98,NA,3283,3253,3336,NA,NA
Arkansas,2020-12-22,45,15,105,NA,3331,3282,3408,NA,NA
Arkansas,2020-12-23,47,15,110,NA,3382,3315,3486,NA,NA
Arkansas,2020-12-24,47,16,107,NA,3432,3353,3558,NA,NA
Arkansas,2020-12-25,47,15,114,NA,3483,3387,3631,NA,NA
Arkansas,2020-12-26,47,15,112,NA,3533,3425,3710,NA,NA
Arkansas,2020-12-27,46,16,110,NA,3584,3455,3780,NA,NA
Arkansas,2020-12-28,48,16,112,NA,3634,3493,3853,NA,NA
Arkansas,2020-12-29,49,17,118,NA,3688,3525,3923,NA,NA
Arkansas,2020-12-30,48,14,112,NA,3740,3560,4006,NA,NA
Arkansas,2020-12-31,47,15,114,NA,3792,3593,4087,NA,NA
Arkansas,2021-01-01,47,15,118,NA,3844,3632,4161,NA,NA
Arkansas,2021-01-02,46,14,113,NA,3893,3666,4247,NA,NA
Arkansas,2021-01-03,45,14,113,NA,3945,3698,4328,NA,NA
Arkansas,2021-01-04,45,15,113,NA,3996,3729,4398,NA,NA
Arkansas,2021-01-05,46,16,111,NA,4042,3761,4478,NA,NA
Arkansas,2021-01-06,46,14,118,NA,4094,3790,4552,NA,NA
Arkansas,2021-01-07,42,13,109,NA,4142,3821,4621,NA,NA
Arkansas,2021-01-08,43,13,107,NA,4193,3852,4696,NA,NA
Arkansas,2021-01-09,44,14,112,NA,4238,3874,4766,NA,NA
Arkansas,2021-01-10,42,12,106,NA,4286,3902,4881,NA,NA
Arkansas,2021-01-11,40,13,100,NA,4329,3929,4936,NA,NA
Arkansas,2021-01-12,41,11,104,NA,4374,3956,5003,NA,NA
Arkansas,2021-01-13,39,11,101,NA,4421,3981,5065,NA,NA
Arkansas,2021-01-14,37,10,97,NA,4464,4004,5125,NA,NA
Arkansas,2021-01-15,37,9,102,NA,4502,4021,5206,NA,NA
Arkansas,2021-01-16,36,10,99,NA,4544,4042,5272,NA,NA
Arkansas,2021-01-17,35,9,103,NA,4588,4058,5341,NA,NA
Arkansas,2021-01-18,34,8,92,NA,4628,4073,5380,NA,NA
California,2020-12-21,271,116,509,NA,22949,22794,23187,NA,NA
California,2020-12-22,279,121,570,NA,23241,22991,23635,NA,NA
California,2020-12-23,292,119,575,NA,23543,23198,24051,NA,NA
California,2020-12-24,301,128,629,NA,23856,23421,24519,NA,NA
