state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
Alabama,2020-03-26,2,1.1428571428571428,2,2,3,2,2,2,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-03-27,1,1.4285714285714286,1,1,4,3,3,3,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-03-28,0,1.4285714285714286,0,0,4,3,3,3,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-03-29,1,1.7142857142857144,1,1,5,4,4,4,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-03-30,6,2.7142857142857144,6,6,11,10,10,10,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-03-31,3,3.2857142857142856,3,3,14,13,13,13,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-01,14,3.7142857142857144,14,14,28,27,27,27,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-02,4,4.571428571428571,4,4,32,31,31,31,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-03,6,5.285714285714286,6,6,38,37,37,37,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-04,6,4.714285714285714,6,6,44,43,43,43,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-05,1,5.285714285714286,1,1,45,44,44,44,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-06,8,7.571428571428571,8,8,53,52,52,52,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-07,11,8.428571428571429,11,11,64,63,63,63,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-08,3,9,3,3,67,66,66,66,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-09,11,9.428571428571429,11,11,78,77,77,77,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-10,2,9.857142857142858,2,2,80,79,79,79,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-11,13,7.571428571428571,13,13,93,92,92,92,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-12,0,7.571428571428571,0,0,93,92,92,92,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-13,11,10.428571428571429,11,11,104,103,103,103,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-14,10,10.428571428571429,10,10,114,113,113,113,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-15,9,10.571428571428571,9,9,123,122,122,122,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-16,14,10.714285714285715,14,14,137,136,136,136,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-17,14,10.571428571428571,14,14,151,150,150,150,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-19,13,7.857142857142857,13,13,160,163,163,163,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-20,4,10.857142857142858,4,4,164,167,167,167,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-21,22,10.857142857142858,22,22,186,189,189,189,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-22,15,10.857142857142858,15,15,201,204,204,204,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-24,12,10.857142857142858,12,12,209,216,216,216,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-25,4,7.714285714285714,4,4,213,220,220,220,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-26,6,7.571428571428571,6,6,219,226,226,226,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-27,9,10.428571428571429,9,9,228,235,235,235,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-28,NA,9.285714285714285,3.571428571428571,19.142857142857142,NA,244.28571428571428,238.57142857142858,254.14285714285714,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-29,NA,9,3.2857142857142856,18.857142857142858,NA,253.71428571428572,244.42857142857142,268.85714285714283,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-04-30,NA,8.714285714285715,3.2857142857142856,18.428571428571427,NA,263,250.28571428571428,283,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-05-01,NA,8.285714285714286,3,17.857142857142858,NA,271.85714285714283,255.85714285714286,296.42857142857144,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-05-02,NA,7.857142857142857,2.7142857142857144,17.857142857142858,NA,280.14285714285717,261,309.7142857142857,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-05-03,NA,7.428571428571429,2.4285714285714284,17.57142857142857,NA,287.85714285714283,265.85714285714283,323.2857142857143,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-05-04,NA,7,2.142857142857143,17,NA,295.2857142857143,270,336.7142857142857,4903185,0.8839,0.9492,0.9626,0.9762
Alabama,2020-05-05,NA,6.571428571428571,2,16.571428571428573,NA,302.42857142857144,273.57142857142856,350,4903185,0.8839,0.9492,0.9626,0.9762
