state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population
Alabama,2020-03-26,2,NA,NA,NA,3,NA,NA,NA,4903185
Alabama,2020-03-27,1,NA,NA,NA,4,NA,NA,NA,4903185
Alabama,2020-03-28,0,NA,NA,NA,4,NA,NA,NA,4903185
Alabama,2020-03-29,1,NA,NA,NA,5,NA,NA,NA,4903185
Alabama,2020-03-30,6,NA,NA,NA,11,NA,NA,NA,4903185
Alabama,2020-03-31,3,NA,NA,NA,14,NA,NA,NA,4903185
Alabama,2020-04-01,14,NA,NA,NA,28,NA,NA,NA,4903185
Alabama,2020-04-02,4,NA,NA,NA,32,NA,NA,NA,4903185
Alabama,2020-04-03,6,NA,NA,NA,38,NA,NA,NA,4903185
Alabama,2020-04-04,6,NA,NA,NA,44,NA,NA,NA,4903185
Alabama,2020-04-05,1,NA,NA,NA,45,NA,NA,NA,4903185
Alabama,2020-04-06,8,NA,NA,NA,53,NA,NA,NA,4903185
Alabama,2020-04-07,11,NA,NA,NA,64,NA,NA,NA,4903185
Alabama,2020-04-08,3,NA,NA,NA,67,NA,NA,NA,4903185
Alabama,2020-04-09,11,NA,NA,NA,78,NA,NA,NA,4903185
Alabama,2020-04-10,2,NA,NA,NA,80,NA,NA,NA,4903185
Alabama,2020-04-11,13,NA,NA,NA,93,NA,NA,NA,4903185
Alabama,2020-04-12,0,NA,NA,NA,93,NA,NA,NA,4903185
Alabama,2020-04-13,11,NA,NA,NA,104,NA,NA,NA,4903185
Alabama,2020-04-14,NA,7,1,17,NA,110,104,120,4903185
Alabama,2020-04-15,NA,7,1,17,NA,117,108,132,4903185
Alabama,2020-04-16,NA,6,1,16,NA,124,112,143,4903185
Alabama,2020-04-17,NA,6,1,16,NA,131,116,155,4903185
Alabama,2020-04-18,NA,6,1,16,NA,137,120,166,4903185
Alabama,2020-04-19,NA,6,1,16,NA,144,124,177,4903185
Alabama,2020-04-20,NA,6,1,17,NA,150,128,189,4903185
Alabama,2020-04-21,NA,6,1,18,NA,157,131,201,4903185
Alabama,2020-04-22,NA,6,1,19,NA,164,135,215,4903185
Alabama,2020-04-23,NA,6,1,21,NA,171,138,231,4903185
Alabama,2020-04-24,NA,6,1,23,NA,178,142,249,4903185
Alabama,2020-04-25,NA,7,1,28,NA,186,145,271,4903185
Alabama,2020-04-26,NA,7,1,34,NA,194,148,300,4903185
Alabama,2020-04-27,NA,7,1,44,NA,203,150,337.0499999999993,4903185
Alabama,2020-04-28,NA,8,0,56,NA,212,153,385,4903185
Alabama,2020-04-29,NA,8,0,77,NA,222,155,460,4903185
Alabama,2020-04-30,NA,9,0,101.04999999999927,NA,232,157,558,4903185
Alabama,2020-05-01,NA,9,0,142.04999999999927,NA,242,159,696.0499999999993,4903185
Alabama,2020-05-02,NA,9,0,202,NA,253,161,886.1999999999971,4903185
Alabama,2020-05-03,NA,10,0,307,NA,264,162,1184.0999999999985,4903185
Alabama,2020-05-04,NA,11,0,452,NA,278,163,1657.0999999999985,4903185
Alaska,2020-03-27,1,NA,NA,NA,1,NA,NA,NA,731545
Alaska,2020-03-28,0,NA,NA,NA,1,NA,NA,NA,731545
Alaska,2020-03-29,1,NA,NA,NA,2,NA,NA,NA,731545
Alaska,2020-03-30,0,NA,NA,NA,2,NA,NA,NA,731545
Alaska,2020-03-31,0,NA,NA,NA,2,NA,NA,NA,731545
Alaska,2020-04-01,0,NA,NA,NA,2,NA,NA,NA,731545
Alaska,2020-04-02,0,NA,NA,NA,2,NA,NA,NA,731545
Alaska,2020-04-03,0,NA,NA,NA,2,NA,NA,NA,731545
Alaska,2020-04-04,3,NA,NA,NA,5,NA,NA,NA,731545
Alaska,2020-04-05,1,NA,NA,NA,6,NA,NA,NA,731545
Alaska,2020-04-07,0,NA,NA,NA,4,NA,NA,NA,731545
Alaska,2020-04-08,1,NA,NA,NA,5,NA,NA,NA,731545
Alaska,2020-04-09,0,NA,NA,NA,5,NA,NA,NA,731545
Alaska,2020-04-10,0,NA,NA,NA,5,NA,NA,NA,731545
Alaska,2020-04-11,1,NA,NA,NA,6,NA,NA,NA,731545
Alaska,2020-04-12,0,NA,NA,NA,6,NA,NA,NA,731545
Alaska,2020-04-13,0,NA,NA,NA,6,NA,NA,NA,731545
Alaska,2020-04-14,NA,0,0,3,NA,8,8,11,731545
Alaska,2020-04-15,NA,0,0,3,NA,9,8,13,731545
Alaska,2020-04-16,NA,1,0,3,NA,10,8,15,731545
Alaska,2020-04-17,NA,1,0,3,NA,11,8,16,731545
Alaska,2020-04-18,NA,1,0,3,NA,12,8,19,731545
Alaska,2020-04-19,NA,1,0,4,NA,13,9,21,731545
Alaska,2020-04-20,NA,1,0,4,NA,14,9,24,731545
Alaska,2020-04-21,NA,1,0,4,NA,15,9,27,731545
Alaska,2020-04-22,NA,1,0,5,NA,16,10,30,731545
Alaska,2020-04-23,NA,1,0,5,NA,17,10,34,731545
Alaska,2020-04-24,NA,1,0,6,NA,19,10,38,731545
Alaska,2020-04-25,NA,1,0,6,NA,20,11,42,731545
Alaska,2020-04-26,NA,1,0,8,NA,22,11,48,731545
Alaska,2020-04-27,NA,1,0,8,NA,24,12,54,731545
Alaska,2020-04-28,NA,1,0,9,NA,26,12,62,731545
Alaska,2020-04-29,NA,1,0,10,NA,27,13,70,731545
Alaska,2020-04-30,NA,2,0,12,NA,29,13,80,731545
Alaska,2020-05-01,NA,1,0,13,NA,31,14,91,731545
Alaska,2020-05-02,NA,2,0,16,NA,33,14,107,731545
Alaska,2020-05-03,NA,2,0,18,NA,35,15,123,731545
Alaska,2020-05-04,NA,1,0,22,NA,37,15,143,731545
Arizona,2020-03-24,1,NA,NA,NA,3,NA,NA,NA,7278717
Arizona,2020-03-25,0,NA,NA,NA,3,NA,NA,NA,7278717
Arizona,2020-03-26,3,NA,NA,NA,6,NA,NA,NA,7278717
Arizona,2020-03-27,5,NA,NA,NA,11,NA,NA,NA,7278717
Arizona,2020-03-28,1,NA,NA,NA,12,NA,NA,NA,7278717
Arizona,2020-03-29,1,NA,NA,NA,13,NA,NA,NA,7278717
Arizona,2020-03-30,1,NA,NA,NA,14,NA,NA,NA,7278717
Arizona,2020-03-31,3,NA,NA,NA,17,NA,NA,NA,7278717
Arizona,2020-04-01,4,NA,NA,NA,21,NA,NA,NA,7278717
