state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
Alabama,2020-03-26,2,1,2,2,3,2,2,2,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-03-27,1,1.4285714285714286,1,1,4,3,3,3,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-03-28,0,1.4285714285714286,0,0,4,3,3,3,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-03-29,1,1.7142857142857144,1,1,5,4,4,4,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-03-30,6,2.571428571428571,6,6,11,10,10,10,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-03-31,3,3.142857142857143,3,3,14,13,13,13,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-01,14,3.8571428571428568,14,14,28,27,27,27,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-02,4,4.428571428571429,4,4,32,31,31,31,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-03,6,5.285714285714286,6,6,38,37,37,37,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-04,6,4.714285714285714,6,6,44,43,43,43,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-05,1,5.428571428571429,1,1,45,44,44,44,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-06,8,7.857142857142857,8,8,53,52,52,52,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-07,11,8.571428571428571,11,11,64,63,63,63,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-08,3,9.142857142857142,3,3,67,66,66,66,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-09,11,9.714285714285715,11,11,78,77,77,77,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-10,2,10.142857142857142,2,2,80,79,79,79,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-11,13,7.7142857142857135,13,13,93,92,92,92,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-12,0,7.857142857142857,0,0,93,92,92,92,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-13,11,10.571428571428571,11,11,104,103,103,103,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-14,10,10.857142857142858,10,10,114,113,113,113,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-15,9,11,9,9,123,122,122,122,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-16,14,11.142857142857142,14,14,137,136,136,136,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-17,14,11.142857142857142,14,14,151,150,150,150,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-19,13,8.142857142857142,13,13,160,163,163,163,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-20,4,11.857142857142858,4,4,164,167,167,167,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-21,22,12.142857142857142,22,22,186,189,189,189,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-22,15,12.428571428571429,15,15,201,204,204,204,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-24,12,13.142857142857142,12,12,209,216,216,216,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-25,NA,12,5,24.28571428571429,NA,228,221,240.28571428571428,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-26,NA,12.428571428571429,5.142857142857142,24.714285714285715,NA,241.14285714285714,229.14285714285714,260.14285714285717,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-27,NA,12.571428571428571,5.142857142857142,25.714285714285715,NA,254.28571428571428,237.71428571428572,280.42857142857144,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-28,NA,12.714285714285715,5.285714285714286,26.714285714285715,NA,267.57142857142856,246.14285714285714,301.42857142857144,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-29,NA,12.857142857142858,5.142857142857142,27.714285714285715,NA,281,254.57142857142858,323,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-04-30,NA,12.714285714285715,4.857142857142857,28.285714285714285,NA,294.42857142857144,262.85714285714283,346.42857142857144,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-05-01,NA,12.857142857142858,4.850000000000007,29.142857142857142,NA,308,270.7142857142857,370,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-05-02,NA,12.857142857142858,4.571428571428571,31,NA,321.85714285714283,278.42857142857144,395.14285714285717,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-05-03,NA,12.714285714285715,4.285714285714286,31.857142857142854,NA,335.2857142857143,285.14285714285717,423,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-05-04,NA,12.857142857142858,3.857142857142857,33.85714285714286,NA,348.7142857142857,291.2857142857143,451.7142857142857,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-05-05,NA,12.571428571428571,3.7142857142857144,35.857142857142854,NA,362,297.2857142857143,482.85714285714283,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-05-06,NA,12.285714285714286,3.428571428571429,38.142857142857146,NA,374.7142857142857,302.85714285714283,516.1428571428571,4903185,0.4092,0.5567,0.6185,0.704
Alabama,2020-05-07,NA,12.285714285714285,3,41,NA,388,307.7142857142857,552.2999999999998,4903185,0.4092,0.5567,0.6185,0.704
