date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper
2020-03-02,5,5,5,5,5,5,5,5
2020-03-03,1,1,1,1,6,6,6,6
2020-03-04,3,3,3,3,9,9,9,9
2020-03-05,1,1,1,1,10,10,10,10
2020-03-06,2,2,2,2,12,12,12,12
2020-03-07,3,3,3,3,15,15,15,15
2020-03-08,2,2,2,2,17,17,17,17
2020-03-09,1,1,1,1,18,18,18,18
2020-03-10,4,4,4,4,22,22,22,22
2020-03-11,2,2,2,2,24,24,24,24
2020-03-12,7,7,7,7,31,31,31,31
2020-03-13,8,8,8,8,39,39,39,39
2020-03-14,2,2,2,2,41,41,41,41
2020-03-15,8,8,8,8,49,49,49,49
2020-03-16,22,22,22,22,71,71,71,71
2020-03-17,29,29,29,29,100,100,100,100
2020-03-18,49,49,49,49,149,149,149,149
2020-03-19,73,73,73,73,222,222,222,222
2020-03-20,93,93,93,93,315,315,315,315
2020-03-21,85,85,85,85,400,400,400,400
2020-03-22,139,139,139,139,539,539,539,539
2020-03-23,183,183,183,183,722,722,722,722
2020-03-24,230,230,230,230,952,952,952,952
2020-03-25,307,307,307,307,1259,1259,1259,1259
2020-03-26,406,406,406,406,1665,1665,1665,1665
2020-03-27,540,540,540,540,2205,2205,2205,2205
2020-03-28,630,630,630,630,2835,2835,2835,2835
2020-03-29,619,619,619,619,3454,3454,3454,3454
2020-03-30,804,804,804,804,4258,4258,4258,4258
2020-03-31,1208,1208,1208,1208,5466,5466,5466,5466
2020-04-01,1210,1210,1210,1210,6676,6676,6676,6676
2020-04-02,1556,1556,1556,1556,8232,8232,8232,8232
2020-04-03,1281,1281,1281,1281,9513,9513,9513,9513
2020-04-04,1259,1259,1259,1259,10772,10772,10772,10772
2020-04-05,1393,1393,1393,1393,12165,12165,12165,12165
2020-04-06,1648,1648,1648,1648,13813,13813,13813,13813
2020-04-07,2296,2296,2296,2296,16109,16109,16109,16109
2020-04-08,2078,2078,2078,2078,18187,18187,18187,18187
2020-04-09,2018,2018,2018,2018,20205,20205,20205,20205
2020-04-10,2054,2054,2054,2054,22259,22259,22259,22259
2020-04-11,2005,2005,2005,2005,24264,24264,24264,24264
2020-04-12,1721,1721,1721,1721,25985,25985,25985,25985
2020-04-13,1788,1788,1788,1788,27773,27773,27773,27773
2020-04-14,2399,2399,2399,2399,30172,30172,30172,30172
2020-04-15,2492,2492,2492,2492,32664,32664,32664,32664
2020-04-16,2079,2079,2079,2079,34743,34743,34743,34743
2020-04-17,2581,2581,2581,2581,37324,37324,37324,37324
2020-04-18,2347,2347,2347,2347,39671,39671,39671,39671
2020-04-19,1346,1346,1346,1346,41017,41017,41017,41017
2020-04-20,1740,1740,1740,1740,42757,42757,42757,42757
2020-04-21,2399,2399,2399,2399,45156,45156,45156,45156
2020-04-22,2327,2327,2327,2327,47483,47483,47483,47483
2020-04-23,2303,2303,2303,2303,49786,49786,49786,49786
2020-04-24,1763,1763,1763,1763,51549,51549,51549,51549
2020-04-25,2256,2256,2256,2256,53805,53805,53805,53805
2020-04-26,1124,1124,1124,1124,54929,54929,54929,54929
2020-04-27,1338,1338,1338,1338,56267,56267,56267,56267
2020-04-28,2134,2134,2134,2134,58401,58401,58401,58401
2020-04-29,2612,2612,2612,2612,61013,61013,61013,61013
2020-04-30,2023,2023,2023,2023,63036,63036,63036,63036
2020-05-01,2005,2005,2005,2005,65041,65041,65041,65041
2020-05-02,1486,1486,1486,1486,66527,66527,66527,66527
2020-05-03,1311,1311,1311,1311,67838,67838,67838,67838
2020-05-04,1241,1241,1241,1241,69079,69079,69079,69079
2020-05-05,2140,2140,2140,2140,71219,71219,71219,71219
2020-05-06,2391,2391,2391,2391,73610,73610,73610,73610
2020-05-07,2205,2205,2205,2205,75815,75815,75815,75815
2020-05-08,1517,1517,1517,1517,77332,77332,77332,77332
2020-05-09,1614,1614,1614,1614,78946,78946,78946,78946
2020-05-10,731,731,731,731,79677,79677,79677,79677
2020-05-11,1153,1153,1153,1153,80830,80830,80830,80830
2020-05-12,1693,1693,1693,1693,82523,82523,82523,82523
2020-05-13,1742,1742,1742,1742,84265,84265,84265,84265
2020-05-14,1777,1777,1777,1777,86042,86042,86042,86042
2020-05-15,1627,1627,1627,1627,87669,87669,87669,87669
2020-05-16,1224,1224,1224,1224,88893,88893,88893,88893
2020-05-17,807,807,807,807,89700,89700,89700,89700
2020-05-18,784,784,784,784,90484,90484,90484,90484
2020-05-19,1574,1574,1574,1574,92058,92058,92058,92058
2020-05-20,1517,1517,1517,1517,93575,93575,93575,93575
2020-05-21,1262,1262,1262,1262,94837,94837,94837,94837
2020-05-22,1276,1276,1276,1276,96113,96113,96113,96113
2020-05-23,1107,1107,1107,1107,97220,97220,97220,97220
2020-05-24,640,640,640,640,97860,97860,97860,97860
2020-05-25,498,498,498,498,98358,98358,98358,98358
2020-05-26,693,693,693,693,99051,99051,99051,99051
2020-05-27,1509,1509,1509,1509,100560,100560,100560,100560
2020-05-28,1197,1197,1197,1197,101757,101757,101757,101757
2020-05-29,1192,1192,1192,1192,102949,102949,102949,102949
2020-05-30,966,966,966,966,103915,103915,103915,103915
2020-05-31,602,602,602,602,104517,104517,104517,104517
2020-06-01,768,768,768,768,105285,105285,105285,105285
2020-06-02,1029,1029,1029,1029,106314,106314,106314,106314
2020-06-03,979,979,979,979,107293,107293,107293,107293
2020-06-04,1037,1037,1037,1037,108330,108330,108330,108330
2020-06-05,NA,811.7857142857142,654.1999999999999,989.0321428571425,NA,108996.78571428571,108839.2,109174.03214285715
2020-06-05,NA,713.5714285714286,574.425,881.0392857142851,NA,109043.57142857143,108904.42499999999,109211.03928571429
2020-06-06,NA,785.7142857142858,636.8571428571429,958.5857142857143,NA,109786.07142857142,109548.63214285714,110053.29821428572
2020-06-07,NA,772.0357142857142,620.3410714285715,946.1732142857143,NA,110564.96428571429,110229.39107142857,110882.14642857143
2020-06-08,NA,752.2142857142858,607.425,921.2785714285715,NA,111325.78571428571,110895.92857142858,111713.41071428571
2020-06-09,NA,728.8571428571429,587.2839285714285,904.2464285714284,NA,112057.32142857142,111549.48214285714,112533.66071428571
2020-06-10,NA,707.0714285714286,573.9857142857143,872.3499999999999,NA,112767.67857142858,112183.14285714286,113318.46071428573
2020-06-11,NA,685.5714285714286,548.5339285714285,846.1267857142857,NA,113461.35714285714,112796.85357142857,114082.42678571428
2020-06-12,NA,660.6428571428571,525.6410714285714,818.9624999999999,NA,114128.39285714286,113385.53392857143,114823.80892857144
2020-06-13,NA,642.2142857142858,512.2571428571428,796.9321428571428,NA,114772.28571428571,113942.19464285715,115534.375
2020-06-14,NA,619.1071428571429,489.3767857142857,777.8607142857143,NA,115401.25,114501.3375,116219.55178571428
