date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
2020-03-01,2,2,2,2,2,2,2,2,0.998,0.998,0.998,0.998
2020-03-02,3,3,3,3,5,5,5,5,0.998,0.998,0.998,0.998
2020-03-03,4,4,4,4,9,9,9,9,0.998,0.998,0.998,0.998
2020-03-04,1,1,1,1,10,10,10,10,0.998,0.998,0.998,0.998
2020-03-05,0,0,0,0,10,10,10,10,0.998,0.998,0.998,0.998
2020-03-06,1,1,1,1,11,11,11,11,0.998,0.998,0.998,0.998
2020-03-07,4,4,4,4,15,15,15,15,0.998,0.998,0.998,0.998
2020-03-08,3,3,3,3,18,18,18,18,0.998,0.998,0.998,0.998
2020-03-09,3,3,3,3,21,21,21,21,0.998,0.998,0.998,0.998
2020-03-10,3,3,3,3,24,24,24,24,0.998,0.998,0.998,0.998
2020-03-11,5,5,5,5,29,29,29,29,0.998,0.998,0.998,0.998
2020-03-12,4,4,4,4,33,33,33,33,0.998,0.998,0.998,0.998
2020-03-13,6,6,6,6,39,39,39,39,0.998,0.998,0.998,0.998
2020-03-14,3,3,3,3,42,42,42,42,0.998,0.998,0.998,0.998
2020-03-15,7,7,7,7,49,49,49,49,0.998,0.998,0.998,0.998
2020-03-16,13,13,13,13,62,62,62,62,0.998,0.998,0.998,0.998
2020-03-17,20,20,20,20,82,82,82,82,0.998,0.998,0.998,0.998
2020-03-18,33,33,33,33,115,115,115,115,0.998,0.998,0.998,0.998
2020-03-19,43,43,43,43,158,158,158,158,0.998,0.998,0.998,0.998
2020-03-20,57,57,57,57,215,215,215,215,0.998,0.998,0.998,0.998
2020-03-21,71,71,71,71,286,286,286,286,0.998,0.998,0.998,0.998
2020-03-22,87,87,87,87,373,373,373,373,0.998,0.998,0.998,0.998
2020-03-23,110,110,110,110,483,483,483,483,0.998,0.998,0.998,0.998
2020-03-24,200,200,200,200,683,683,683,683,0.998,0.998,0.998,0.998
2020-03-25,251,251,251,251,934,934,934,934,0.998,0.998,0.998,0.998
2020-03-26,279,279,279,279,1213,1213,1213,1213,0.998,0.998,0.998,0.998
2020-03-27,370,370,370,370,1583,1583,1583,1583,0.998,0.998,0.998,0.998
2020-03-28,487,487,487,487,2070,2070,2070,2070,0.998,0.998,0.998,0.998
2020-03-29,273,273,273,273,2343,2343,2343,2343,0.998,0.998,0.998,0.998
2020-03-30,494,494,494,494,2837,2837,2837,2837,0.998,0.998,0.998,0.998
2020-03-31,720,720,720,720,3557,3557,3557,3557,0.998,0.998,0.998,0.998
2020-04-01,915,915,915,915,4472,4472,4472,4472,0.998,0.998,0.998,0.998
2020-04-02,960,960,960,960,5432,5432,5432,5432,0.998,0.998,0.998,0.998
2020-04-03,1630,1630,1630,1630,7062,7062,7062,7062,0.998,0.998,0.998,0.998
2020-04-04,1366,1366,1366,1366,8428,8428,8428,8428,0.998,0.998,0.998,0.998
2020-04-05,1153,1153,1153,1153,9581,9581,9581,9581,0.998,0.998,0.998,0.998
2020-04-06,2048,2048,2048,2048,11629,11629,11629,11629,0.998,0.998,0.998,0.998
2020-04-07,1249,1249,1249,1249,12878,12878,12878,12878,0.998,0.998,0.998,0.998
2020-04-08,1834,1834,1834,1834,14712,14712,14712,14712,0.998,0.998,0.998,0.998
2020-04-09,1897,1897,1897,1897,16609,16609,16609,16609,0.998,0.998,0.998,0.998
2020-04-10,2028,2028,2028,2028,18637,18637,18637,18637,0.998,0.998,0.998,0.998
2020-04-11,1860,1860,1860,1860,20497,20497,20497,20497,0.998,0.998,0.998,0.998
2020-04-12,1477,1477,1477,1477,21974,21974,21974,21974,0.998,0.998,0.998,0.998
2020-04-13,1549,1549,1549,1549,23523,23523,23523,23523,0.998,0.998,0.998,0.998
2020-04-14,2473,2473,2473,2473,25996,25996,25996,25996,0.998,0.998,0.998,0.998
2020-04-15,2498,2498,2498,2498,28494,28494,28494,28494,0.998,0.998,0.998,0.998
2020-04-16,2201,2201,2201,2201,30695,30695,30695,30695,0.998,0.998,0.998,0.998
2020-04-17,2091,2091,2091,2091,32786,32786,32786,32786,0.998,0.998,0.998,0.998
2020-04-18,1842,1842,1842,1842,34628,34628,34628,34628,0.998,0.998,0.998,0.998
2020-04-19,1402,1402,1402,1402,36030,36030,36030,36030,0.998,0.998,0.998,0.998
2020-04-20,1685,1685,1685,1685,37715,37934.28571428572,37563.42857142857,38447.72142857143,0.998,0.998,0.998,0.998
2020-04-21,NA,1672.7142857142858,1334.4285714285713,2144.578571428571,NA,39625.21428571429,39022.84285714286,40417.021428571425,0.998,0.998,0.998,0.998
2020-04-22,NA,1577,1242.7,2038.857142857143,NA,41219.5,40369.228571428575,42311.15714285714,0.998,0.998,0.998,0.998
2020-04-23,NA,1477.857142857143,1139.142857142857,1938.7214285714285,NA,42709.07142857143,41606.27857142857,44111.74285714285,0.998,0.998,0.998,0.998
2020-04-24,NA,1369.2857142857142,1045,1842.4285714285713,NA,44082.5,42718.99285714286,45842.04285714286,0.998,0.998,0.998,0.998
2020-04-25,NA,1263.857142857143,931.9642857142858,1731.4499999999996,NA,45359.92857142857,43732.40714285715,47482.66428571429,0.998,0.998,0.998,0.998
