msa,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
"Abilene, TX",2020-04-04,1,0,1,1,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-05,0,0,0,0,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-06,0,0,0,0,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-07,0,0,0,0,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-08,0,0,0,0,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-09,0,0,0,0,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-10,0,0,0,0,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-11,0,0,0,0,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-12,0,0,0,0,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-13,0,0,0,0,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-14,0,0,0,0,1,1,1,1,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-15,1,0,1,1,2,2,2,2,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-16,0,0,0,0,2,2,2,2,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-17,0,0,0,0,2,2,2,2,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-18,NA,0,0,1,NA,2,2,3,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-19,NA,0,0,1,NA,2,2,4,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-20,NA,0,0,1,NA,2,2,4,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-21,NA,0,0,1,NA,2,2,5,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-22,NA,0,0,1,NA,2,2,5,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-23,NA,0,0,1,NA,3,2,6,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-24,NA,0,0,1,NA,3,2,6,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-25,NA,0,0,1,NA,3,2,7,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-26,NA,0,0,1,NA,3,2,8,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-27,NA,0,0,1,NA,3,2,9,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-28,NA,0,0,2,NA,3,2,10,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-29,NA,0,0,2,NA,4,2,10,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-04-30,NA,0,0,2,NA,4,2,12,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-05-01,NA,0,0,2,NA,4,2,13,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-05-02,NA,0,0,2,NA,4,2,14,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-05-03,NA,0,0,2,NA,5,2,15,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-05-04,NA,0,0,2,NA,5,2,16,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-05-05,NA,0,0,2,NA,5,2,17,172060,0.55,0.627,0.6852,0.8005
"Abilene, TX",2020-05-06,NA,0,0,2,NA,6,2,19,172060,0.55,0.627,0.6852,0.8005
