state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,population,daily_deaths_av7
Alabama,2020-03-25,1,1,1,1,1,1,1,1,4903185,NA
Alabama,2020-03-26,0,0,0,0,1,1,1,1,4903185,NA
Alabama,2020-03-27,3,3,3,3,4,4,4,4,4903185,NA
Alabama,2020-03-28,0,0,0,0,4,4,4,4,4903185,3.285714285714285
Alabama,2020-03-29,6,6,6,6,10,10,10,10,4903185,3.714285714285714
Alabama,2020-03-30,0,0,0,0,10,10,10,10,4903185,4.428571428571428
Alabama,2020-03-31,13,13,13,13,23,23,23,23,4903185,4.857142857142856
Alabama,2020-04-01,4,4,4,4,27,27,27,27,4903185,5.7142857142857135
Alabama,2020-04-02,5,5,5,5,32,32,32,32,4903185,4.999999999999999
Alabama,2020-04-03,6,6,6,6,38,38,38,38,4903185,5.57142857142857
Alabama,2020-04-04,6,6,6,6,44,44,44,44,4903185,5.857142857142857
Alabama,2020-04-05,1,1,1,1,45,45,45,45,4903185,5.571428571428571
Alabama,2020-04-06,4,4,4,4,49,49,49,49,4903185,5.428571428571428
Alabama,2020-04-07,15,15,15,15,64,64,64,64,4903185,6
Alabama,2020-04-08,2,2,2,2,66,66,66,66,4903185,6.857142857142857
Alabama,2020-04-09,4,4,4,4,70,70,70,70,4903185,6.857142857142856
Alabama,2020-04-10,10,10,10,10,80,80,80,80,4903185,7.142857142857142
Alabama,2020-04-11,12,12,12,12,92,92,92,92,4903185,7.1428571428571415
Alabama,2020-04-12,1,1,1,1,93,93,93,93,4903185,7.428571428571429
Alabama,2020-04-13,6,6,6,6,99,99,99,99,4903185,9
Alabama,2020-04-14,15,15,15,15,114,114,114,114,4903185,9.714285714285714
Alabama,2020-04-15,4,4,4,4,118,118,118,118,4903185,8.714285714285714
Alabama,2020-04-16,15,15,15,15,133,133,133,133,4903185,9.142857142857142
Alabama,2020-04-17,15,15,15,15,148,148,148,148,4903185,9.14285714285714
Alabama,2020-04-18,5,5,5,5,153,153,153,153,4903185,9.857142857142856
Alabama,2020-04-19,4,4,4,4,157,157,157,157,4903185,11.14285714285714
Alabama,2020-04-20,6,6,6,6,163,163,163,163,4903185,9.857142857142856
Alabama,2020-04-21,20,20,20,20,183,183,183,183,4903185,8.714285714285714
Alabama,2020-04-22,13,13,13,13,196,196,196,196,4903185,7.999999999999999
Alabama,2020-04-23,6,6,6,6,202,202,202,202,4903185,8.857142857142856
Alabama,2020-04-24,7,7,7,7,209,209,209,209,4903185,9.285714285714285
Alabama,2020-04-25,0,0,0,0,209,209,209,209,4903185,8.428571428571427
Alabama,2020-04-26,10,10,10,10,219,219,219,219,4903185,8.571428571428571
Alabama,2020-04-27,9,9,9,9,228,228,228,228,4903185,10
Alabama,2020-04-28,14,14,14,14,242,242,242,242,4903185,11.428571428571429
Alabama,2020-04-29,14,14,14,14,256,256,256,256,4903185,11.714285714285714
Alabama,2020-04-30,16,16,16,16,272,272,272,272,4903185,11.428571428571427
Alabama,2020-05-01,17,17,17,17,289,289,289,289,4903185,12.57142857142857
Alabama,2020-05-03,2,2,2,2,290,290,290,290,4903185,14.57142857142857
Alabama,2020-05-04,8,8,8,8,298,298,298,298,4903185,16.285714285714285
Alabama,2020-05-05,17,17,17,17,315,315,315,315,4903185,16
Alabama,2020-05-06,28,28,28,28,343,343,343,343,4903185,14.571428571428571
Alabama,2020-05-07,26,26,26,26,369,369,369,369,4903185,14.714285714285714
Alabama,2020-05-08,14,14,14,14,383,383,383,383,4903185,15
Alabama,2020-05-09,7,7,7,7,390,390,390,390,4903185,17.142857142857142
Alabama,2020-05-10,3,3,3,3,393,393,393,393,4903185,15.285714285714285
Alabama,2020-05-11,10,10,10,10,403,403,403,403,4903185,14.857142857142858
Alabama,2020-05-12,32,32,32,32,435,435,435,435,4903185,14.285714285714285
Alabama,2020-05-13,15,15,15,15,450,450,450,450,4903185,13.571428571428571
Alabama,2020-05-14,23,23,23,23,473,473,473,473,4903185,13.571428571428571
Alabama,2020-05-15,10,10,10,10,483,483,483,483,4903185,12.285714285714285
Alabama,2020-05-16,2,2,2,2,485,485,485,485,4903185,9.857142857142856
Alabama,2020-05-17,3,3,3,3,488,488,488,488,4903185,10.285714285714285
Alabama,2020-05-18,1,1,1,1,489,489,489,489,4903185,8
Alabama,2020-05-19,15,15,15,15,504,504,504,504,4903185,8.285714285714286
Alabama,2020-05-20,18,18,18,18,522,522,522,522,4903185,9.142857142857142
Alabama,2020-05-21,7,7,7,7,529,529,529,529,4903185,8.999999999999998
Alabama,2020-05-22,12,12,12,12,541,541,541,541,4903185,11
Alabama,2020-05-23,8,8,8,8,549,549,549,549,4903185,10.857142857142856
Alabama,2020-05-24,2,2,2,2,551,551,551,551,4903185,8.714285714285715
Alabama,2020-05-25,15,15,15,15,566,566,566,566,4903185,8.857142857142856
Alabama,2020-05-26,14,14,14,14,580,580,580,580,4903185,9.857142857142858
Alabama,2020-05-27,3,3,3,3,583,583,583,583,4903185,9.857142857142858
Alabama,2020-05-28,8,8,8,8,591,591,591,591,4903185,11.285714285714285
Alabama,2020-05-29,19,19,19,19,610,610,610,610,4903185,11.428571428571427
Alabama,2020-05-30,8,8,8,8,618,618,618,618,4903185,10.428571428571427
Alabama,2020-05-31,12,12,12,12,630,630,630,630,4903185,9.999999999999998
Alabama,2020-06-01,16,16,16,16,646,646,646,646,4903185,8.857142857142856
Alabama,2020-06-02,7,7,7,7,653,653,653,653,4903185,9.428571428571427
Alabama,2020-06-03,0,0,0,0,653,653,653,653,4903185,10.14285714285714
Alabama,2020-06-04,0,0,0,0,653,653,653,653,4903185,8.857142857142858
Alabama,2020-06-05,23,23,23,23,676,676,676,676,4903185,10.285714285714285
Alabama,2020-06-06,13,13,13,13,689,689,689,689,4903185,10.857142857142858
Alabama,2020-06-07,3,3,3,3,692,692,692,692,4903185,13
Alabama,2020-06-08,26,26,26,26,718,718,718,718,4903185,14.571428571428573
Alabama,2020-06-09,11,11,11,11,729,729,729,729,4903185,13.285714285714285
Alabama,2020-06-10,15,15,15,15,744,744,744,744,4903185,11.999999999999998
Alabama,2020-06-11,11,11,11,11,755,755,755,755,4903185,11.57142857142857
Alabama,2020-06-12,14,14,14,14,769,769,769,769,4903185,8
Alabama,2020-06-13,4,4,4,4,773,773,773,773,4903185,8
Alabama,2020-06-14,0,0,0,0,773,773,773,773,4903185,6.571428571428571
Alabama,2020-06-15,1,1,1,1,774,774,774,774,4903185,7.857142857142857
Alabama,2020-06-16,11,11,11,11,785,785,785,785,4903185,7.571428571428571
Alabama,2020-06-17,5,5,5,5,790,790,790,790,4903185,9.285714285714285
Alabama,2020-06-18,20,20,20,20,810,810,810,810,4903185,9.428571428571427
Alabama,2020-06-19,12,12,12,12,822,822,822,822,4903185,9.571428571428571
Alabama,2020-06-20,16,16,16,16,838,838,838,838,4903185,11.285714285714285
Alabama,2020-06-21,1,1,1,1,839,839,839,839,4903185,14.428571428571427
Alabama,2020-06-22,2,2,2,2,841,841,841,841,4903185,NA
Alabama,2020-06-23,23,23,23,23,864,864,864,864,4903185,NA
Alabama,2020-06-24,27,27,27,27,891,891,891,891,4903185,NA
Alabama,2020-06-25,NA,12,1,42,NA,904,893,934,4903185,NA
Alabama,2020-06-26,NA,13,1,44,NA,919,900,963,4903185,NA
Alabama,2020-06-27,NA,13,2,43,NA,935,908,984,4903185,NA
Alabama,2020-06-28,NA,14,1.9750000000000014,47.049999999999955,NA,950,918,1008.025,4903185,NA
Alabama,2020-06-29,NA,13.5,2,47,NA,967,931,1029,4903185,NA
Alabama,2020-06-30,NA,14,2,56,NA,985,941,1056.025,4903185,NA
Alabama,2020-07-01,NA,15,2,47,NA,1003,954,1085.0249999999999,4903185,NA
Alabama,2020-07-02,NA,15,2,51,NA,1019,966.975,1106,4903185,NA
Alabama,2020-07-03,NA,15,2,52,NA,1038,978.9749999999999,1126.025,4903185,NA
Alabama,2020-07-04,NA,16,2,52.02499999999998,NA,1057,991,1145,4903185,NA
Alabama,2020-07-05,NA,16,2,54,NA,1076,1005.9749999999999,1166,4903185,NA
Alabama,2020-07-06,NA,17,2,54.02499999999998,NA,1096,1019,1190,4903185,NA
Alabama,2020-07-07,NA,17,2,59.02499999999998,NA,1116.5,1034.975,1224.025,4903185,NA
Alabama,2020-07-08,NA,17,2,61,NA,1138,1053,1245.0249999999999,4903185,NA
Alabama,2020-07-09,NA,18,3,60.02499999999998,NA,1160,1070.975,1268.05,4903185,NA
Alabama,2020-07-10,NA,18,3,62,NA,1183,1082.975,1299.0500000000002,4903185,NA
Alabama,2020-07-11,NA,20,2.9750000000000014,61.02499999999998,NA,1204,1097,1328.05,4903185,NA
Alabama,2020-07-12,NA,19,2,63.02499999999998,NA,1227,1117.975,1361.1,4903185,NA
Alabama,2020-07-13,NA,19,3,68,NA,1251,1134.95,1387.025,4903185,NA
Alabama,2020-07-14,NA,20,4,68,NA,1274,1154,1424,4903185,NA
Alabama,2020-07-15,NA,21,3,70.02499999999998,NA,1297,1172.95,1457.0249999999999,4903185,NA
Alabama,2020-07-16,NA,20,2.9750000000000014,67.07499999999993,NA,1323.5,1191.975,1478.025,4903185,NA
Alabama,2020-07-17,NA,22,4,69.04999999999995,NA,1351,1213,1518.05,4903185,NA
Alabama,2020-07-18,NA,22.5,4,80,NA,1378,1230.975,1550,4903185,NA
Alabama,2020-07-19,NA,23,3,74,NA,1406,1255.95,1585.0249999999999,4903185,NA
Alabama,2020-07-20,NA,25,4,81.02499999999998,NA,1433,1274,1627.025,4903185,NA
Alabama,2020-07-21,NA,24,4,81,NA,1459.5,1301,1656.05,4903185,NA
Alabama,2020-07-22,NA,25,4,82,NA,1491,1325.9250000000002,1686.05,4903185,NA
Alabama,2020-07-23,NA,25,4,75,NA,1521,1347,1731.1,4903185,NA
Alaska,2020-03-25,1,1,1,1,1,1,1,1,731545,NA
Alaska,2020-03-26,0,0,0,0,1,1,1,1,731545,NA
Alaska,2020-03-27,0,0,0,0,1,1,1,1,731545,NA
Alaska,2020-03-28,1,1,1,1,2,2,2,2,731545,0.42857142857142855
Alaska,2020-03-29,0,0,0,0,2,2,2,2,731545,0.2857142857142857
Alaska,2020-03-30,1,1,1,1,3,3,3,3,731545,0.2857142857142857
Alaska,2020-03-31,0,0,0,0,3,3,3,3,731545,0.2857142857142857
Alaska,2020-04-01,0,0,0,0,3,3,3,3,731545,0.42857142857142855
Alaska,2020-04-02,0,0,0,0,3,3,3,3,731545,0.5714285714285714
Alaska,2020-04-03,0,0,0,0,3,3,3,3,731545,0.42857142857142855
Alaska,2020-04-04,2,2,2,2,5,5,5,5,731545,0.42857142857142855
Alaska,2020-04-05,1,1,1,1,6,6,6,6,731545,0.5714285714285714
Alaska,2020-04-06,0,0,0,0,6,6,6,6,731545,0.5714285714285714
Alaska,2020-04-07,0,0,0,0,6,6,6,6,731545,0.5714285714285714
Alaska,2020-04-08,1,1,1,1,7,7,7,7,731545,0.42857142857142855
Alaska,2020-04-09,0,0,0,0,7,7,7,7,731545,0.2857142857142857
Alaska,2020-04-10,0,0,0,0,7,7,7,7,731545,0.2857142857142857
Alaska,2020-04-11,1,1,1,1,8,8,8,8,731545,0.42857142857142855
Alaska,2020-04-12,0,0,0,0,8,8,8,8,731545,0.2857142857142857
Alaska,2020-04-13,0,0,0,0,8,8,8,8,731545,0.2857142857142857
Alaska,2020-04-14,1,1,1,1,9,9,9,9,731545,0.2857142857142857
Alaska,2020-04-15,0,0,0,0,9,9,9,9,731545,0.14285714285714285
Alaska,2020-04-16,0,0,0,0,9,9,9,9,731545,0.14285714285714285
Alaska,2020-04-17,0,0,0,0,9,9,9,9,731545,0.14285714285714285
Alaska,2020-04-18,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-19,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-20,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-21,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-22,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-23,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-24,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-25,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-26,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-27,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-28,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-29,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-04-30,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-05-01,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-05-02,0,0,0,0,9,9,9,9,731545,0
Alaska,2020-05-03,0,0,0,0,9,9,9,9,731545,0.14285714285714285
Alaska,2020-05-04,0,0,0,0,9,9,9,9,731545,0.14285714285714285
Alaska,2020-05-05,0,0,0,0,9,9,9,9,731545,0.14285714285714285
Alaska,2020-05-06,1,1,1,1,10,10,10,10,731545,0.14285714285714285
Alaska,2020-05-07,0,0,0,0,10,10,10,10,731545,0.14285714285714285
Alaska,2020-05-08,0,0,0,0,10,10,10,10,731545,0.14285714285714285
Alaska,2020-05-09,0,0,0,0,10,10,10,10,731545,0.14285714285714285
Alaska,2020-05-10,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-11,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-12,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-13,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-14,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-15,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-16,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-17,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-18,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-19,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-20,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-21,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-22,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-23,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-24,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-25,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-26,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-27,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-28,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-29,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-30,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-05-31,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-06-01,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-06-02,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-06-03,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-06-04,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-06-05,0,0,0,0,10,10,10,10,731545,0
Alaska,2020-06-06,0,0,0,0,10,10,10,10,731545,0.14285714285714285
Alaska,2020-06-07,0,0,0,0,10,10,10,10,731545,0.14285714285714285
Alaska,2020-06-08,0,0,0,0,10,10,10,10,731545,0.14285714285714285
Alaska,2020-06-09,1,1,1,1,11,11,11,11,731545,0.2857142857142857
Alaska,2020-06-10,0,0,0,0,11,11,11,11,731545,0.2857142857142857
Alaska,2020-06-11,0,0,0,0,11,11,11,11,731545,0.2857142857142857
Alaska,2020-06-12,1,1,1,1,12,12,12,12,731545,0.2857142857142857
