date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
2020-03-02,5,5,5,5,5,5,5,5,0.992,0.992,0.992,0.994
2020-03-03,1,1,1,1,6,6,6,6,0.992,0.992,0.992,0.994
2020-03-04,3,3,3,3,9,9,9,9,0.992,0.992,0.992,0.994
2020-03-05,1,1,1,1,10,10,10,10,0.992,0.992,0.992,0.994
2020-03-06,2,2,2,2,12,12,12,12,0.992,0.992,0.992,0.994
2020-03-07,3,3,3,3,15,15,15,15,0.992,0.992,0.992,0.994
2020-03-08,2,2,2,2,17,17,17,17,0.992,0.992,0.992,0.994
2020-03-09,1,1,1,1,18,18,18,18,0.992,0.992,0.992,0.994
2020-03-10,4,4,4,4,22,22,22,22,0.992,0.992,0.992,0.994
2020-03-11,2,2,2,2,24,24,24,24,0.992,0.992,0.992,0.994
2020-03-12,7,7,7,7,31,31,31,31,0.992,0.992,0.992,0.994
2020-03-13,7,7,7,7,38,38,38,38,0.992,0.992,0.992,0.994
2020-03-14,2,2,2,2,40,40,40,40,0.992,0.992,0.992,0.994
2020-03-15,8,8,8,8,48,48,48,48,0.992,0.992,0.992,0.994
2020-03-16,22,22,22,22,70,70,70,70,0.992,0.992,0.992,0.994
2020-03-17,29,29,29,29,99,99,99,99,0.992,0.992,0.992,0.994
2020-03-18,49,49,49,49,148,148,148,148,0.992,0.992,0.992,0.994
2020-03-19,73,73,73,73,221,221,221,221,0.992,0.992,0.992,0.994
2020-03-20,93,93,93,93,314,314,314,314,0.992,0.992,0.992,0.994
2020-03-21,86,86,86,86,400,400,400,400,0.992,0.992,0.992,0.994
2020-03-22,138,138,138,138,538,538,538,538,0.992,0.992,0.992,0.994
2020-03-23,184,184,184,184,722,722,722,722,0.992,0.992,0.992,0.994
2020-03-24,227,227,227,227,949,949,949,949,0.992,0.992,0.992,0.994
2020-03-25,306,306,306,306,1255,1255,1255,1255,0.992,0.992,0.992,0.994
2020-03-26,409,409,409,409,1664,1664,1664,1664,0.992,0.992,0.992,0.994
2020-03-27,536,536,536,536,2200,2200,2200,2200,0.992,0.992,0.992,0.994
2020-03-28,621,621,621,621,2821,2821,2821,2821,0.992,0.992,0.992,0.994
2020-03-29,632,632,632,632,3453,3453,3453,3453,0.992,0.992,0.992,0.994
2020-03-30,800,800,800,800,4253,4253,4253,4253,0.992,0.992,0.992,0.994
2020-03-31,1212,1212,1212,1212,5465,5465,5465,5465,0.992,0.992,0.992,0.994
2020-04-01,1200,1200,1200,1200,6665,6665,6665,6665,0.992,0.992,0.992,0.994
2020-04-02,1549,1549,1549,1549,8214,8214,8214,8214,0.992,0.992,0.992,0.994
2020-04-03,1284,1284,1284,1284,9498,9498,9498,9498,0.992,0.992,0.992,0.994
2020-04-04,1258,1258,1258,1258,10756,10756,10756,10756,0.992,0.992,0.992,0.994
2020-04-05,1408,1408,1408,1408,12164,12164,12164,12164,0.992,0.992,0.992,0.994
2020-04-06,1648,1648,1648,1648,13812,13812,13812,13812,0.992,0.992,0.992,0.994
2020-04-07,2296,2296,2296,2296,16108,16108,16108,16108,0.992,0.992,0.992,0.994
2020-04-08,2078,2078,2078,2078,18186,18186,18186,18186,0.992,0.992,0.992,0.994
2020-04-09,1985,1985,1985,1985,20171,20171,20171,20171,0.992,0.992,0.992,0.994
2020-04-10,2063,2063,2063,2063,22234,22234,22234,22234,0.992,0.992,0.992,0.994
2020-04-11,2005,2005,2005,2005,24239,24239,24239,24239,0.992,0.992,0.992,0.994
2020-04-12,1745,1745,1745,1745,25984,25984,25984,25984,0.992,0.992,0.992,0.994
2020-04-13,1788,1788,1788,1788,27772,27772,27772,27772,0.992,0.992,0.992,0.994
2020-04-14,2399,2399,2399,2399,30171,30171,30171,30171,0.992,0.992,0.992,0.994
2020-04-15,2466,2466,2466,2466,32637,32637,32637,32637,0.992,0.992,0.992,0.994
2020-04-16,2088,2088,2088,2088,34725,34725,34725,34725,0.992,0.992,0.992,0.994
2020-04-17,2581,2581,2581,2581,37306,37306,37306,37306,0.992,0.992,0.992,0.994
2020-04-18,2342,2342,2342,2342,39648,39648,39648,39648,0.992,0.992,0.992,0.994
2020-04-19,1368,1368,1368,1368,41016,41016,41016,41016,0.992,0.992,0.992,0.994
2020-04-20,1713,1713,1713,1713,42729,42729,42729,42729,0.992,0.992,0.992,0.994
2020-04-21,2426,2426,2426,2426,45155,45155,45155,45155,0.992,0.992,0.992,0.994
2020-04-22,2327,2327,2327,2327,47482,47482,47482,47482,0.992,0.992,0.992,0.994
2020-04-23,2303,2303,2303,2303,49785,49785,49785,49785,0.992,0.992,0.992,0.994
2020-04-24,1763,1763,1763,1763,51548,51548,51548,51548,0.992,0.992,0.992,0.994
2020-04-25,2256,2256,2256,2256,53804,53804,53804,53804,0.992,0.992,0.992,0.994
2020-04-26,1124,1124,1124,1124,54928,54928,54928,54928,0.992,0.992,0.992,0.994
2020-04-27,1338,1338,1338,1338,56266,56266,56266,56266,0.992,0.992,0.992,0.994
2020-04-28,2134,2134,2134,2134,58400,58400,58400,58400,0.992,0.992,0.992,0.994
2020-04-29,2612,2612,2612,2612,61012,61012,61012,61012,0.992,0.992,0.992,0.994
2020-04-30,2023,2023,2023,2023,63035,63035,63035,63035,0.992,0.992,0.992,0.994
2020-05-01,2005,2005,2005,2005,65040,65040,65040,65040,0.992,0.992,0.992,0.994
2020-05-02,1486,1486,1486,1486,66526,66526,66526,66526,0.992,0.992,0.992,0.994
2020-05-03,1311,1311,1311,1311,67837,67837,67837,67837,0.992,0.992,0.992,0.994
2020-05-04,1241,1241,1241,1241,69078,69078,69078,69078,0.992,0.992,0.992,0.994
2020-05-05,2140,2140,2140,2140,71218,71218,71218,71218,0.992,0.992,0.992,0.994
2020-05-06,2391,2391,2391,2391,73609,73609,73609,73609,0.992,0.992,0.992,0.994
2020-05-07,2205,2205,2205,2205,75814,75814,75814,75814,0.992,0.992,0.992,0.994
2020-05-08,1517,1517,1517,1517,77331,77331,77331,77331,0.992,0.992,0.992,0.994
2020-05-09,1614,1614,1614,1614,78945,78945,78945,78945,0.992,0.992,0.992,0.994
2020-05-10,731,731,731,731,79676,79676,79676,79676,0.992,0.992,0.992,0.994
2020-05-11,1153,1153,1153,1153,80829,80829,80829,80829,0.992,0.992,0.992,0.994
2020-05-12,NA,1441.4285714285716,1178.8357142857144,1767.7357142857145,NA,82270.42857142857,82007.83571428571,82596.7357142857,0.992,0.992,0.992,0.994
2020-05-13,NA,1429.9285714285716,1148,1780.4785714285715,NA,83704.92857142858,83251.14285714286,84263.39285714286,0.992,0.992,0.992,0.994
2020-05-14,NA,1417.857142857143,1132.657142857143,1792.7714285714287,NA,85132.42857142858,84469.52857142859,85926.1,0.992,0.992,0.992,0.994
2020-05-15,NA,1409.2857142857142,1105.692857142857,1802.6214285714289,NA,86557.92857142858,85673.85,87629.58571428571,0.992,0.992,0.992,0.994
2020-05-16,NA,1407.7857142857142,1088.4214285714286,1836.0285714285715,NA,87975.5,86860.11428571428,89363.32142857142,0.992,0.992,0.992,0.994
2020-05-17,NA,1408.2857142857142,1064.9785714285715,1877.7214285714285,NA,89389.64285714286,88005.9857142857,91146.80714285716,0.992,0.992,0.992,0.994
2020-05-18,NA,1411.2857142857142,1040.557142857143,1930.6071428571431,NA,90812.85714285714,89102.77142857143,92991.90714285715,0.992,0.992,0.992,0.994
2020-05-19,NA,1405.5714285714287,1010.0999999999999,1986.4928571428575,NA,92229.21428571429,90161.33571428573,94883.85714285714,0.992,0.992,0.992,0.994
2020-05-20,NA,1395.2857142857142,978.7142857142858,1998.064285714286,NA,93633,91192,96875.65,0.992,0.992,0.992,0.994
2020-05-21,NA,1374.2142857142858,929.6357142857142,2041.6071428571431,NA,95010.42857142858,92147.35714285714,98858.93571428572,0.992,0.992,0.992,0.994
2020-05-22,NA,1343.4285714285716,888.1142857142856,2052.15,NA,96364.5,93076.8142857143,100831.0142857143,0.992,0.992,0.992,0.994
2020-05-23,NA,1306,840.7071428571428,2039.0214285714287,NA,97674.64285714287,93954.55,102783.74285714285,0.992,0.992,0.992,0.994
2020-05-24,NA,1269.357142857143,791.9785714285714,2053.0857142857144,NA,98931.92857142858,94793.69285714286,104762.37142857144,0.992,0.992,0.992,0.994
2020-05-25,NA,1212.142857142857,741.8428571428572,2011,NA,100171.07142857142,95566.55714285714,106694.12857142856,0.992,0.992,0.992,0.994
2020-05-26,NA,1140.142857142857,683.1214285714286,1933.9428571428575,NA,101317.42857142858,96272.83571428573,108534.67857142858,0.992,0.992,0.992,0.994
2020-05-27,NA,1074.4285714285713,630.1285714285714,1880.1714285714286,NA,102414.64285714286,96931.5,110369.19285714286,0.992,0.992,0.992,0.994
2020-05-28,NA,1000.3571428571429,568.1428571428571,1801.4785714285715,NA,103411.35714285714,97543.75714285714,112121.27142857143,0.992,0.992,0.992,0.994
2020-05-29,NA,931.6428571428571,517.7142857142858,1732.8714285714289,NA,104366,98111.40714285715,113827.63571428572,0.992,0.992,0.992,0.994
2020-05-30,NA,883.0714285714286,475.14285714285717,1689.857142857143,NA,105243.64285714286,98631.14285714286,115405.62142857142,0.992,0.992,0.992,0.994
2020-05-31,NA,823.9285714285714,431.55,1667.8642857142859,NA,106088,99082.92857142857,116983.47857142857,0.992,0.992,0.992,0.994
2020-06-01,NA,782.1428571428571,394.1357142857143,1669.4714285714292,NA,106868.92857142858,99511.8142857143,118544.09285714285,0.992,0.992,0.992,0.994
2020-06-02,NA,734.7857142857143,358.4214285714286,1632.3642857142859,NA,107639.64285714286,99907.82857142857,120021.69285714286,0.992,0.992,0.992,0.994
