msa,date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,population
"Akron, OH",2020-03-27,1,0.5714285714285714,1,1,1,1,1,1,703479
"Akron, OH",2020-03-28,3,0.7142857142857143,3,3,4,4,4,4,703479
"Akron, OH",2020-03-29,1,0.7142857142857143,1,1,5,5,5,5,703479
"Akron, OH",2020-03-30,1,0.7142857142857143,1,1,6,6,6,6,703479
"Akron, OH",2020-03-31,0,0.7142857142857143,0,0,6,6,6,6,703479
"Akron, OH",2020-04-01,2,1,2,2,8,8,8,8,703479
"Akron, OH",2020-04-02,1,1,1,1,9,9,9,9,703479
"Akron, OH",2020-04-03,1,1.2857142857142856,1,1,10,10,10,10,703479
"Akron, OH",2020-04-04,0,1.2857142857142856,0,0,10,10,10,10,703479
"Akron, OH",2020-04-05,3,1,3,3,13,13,13,13,703479
"Akron, OH",2020-04-06,2,1.2857142857142856,2,2,15,15,15,15,703479
"Akron, OH",2020-04-07,4,1.7142857142857144,4,4,19,19,19,19,703479
"Akron, OH",2020-04-08,1,2,1,1,20,20,20,20,703479
"Akron, OH",2020-04-09,6,2.142857142857143,6,6,26,26,26,26,703479
"Akron, OH",2020-04-10,0,2.2857142857142856,0,0,26,26,26,26,703479
"Akron, OH",2020-04-11,2,2.4285714285714284,2,2,28,28,28,28,703479
"Akron, OH",2020-04-12,1,1.7142857142857144,1,1,29,29,29,29,703479
"Akron, OH",2020-04-13,3,1.7142857142857144,3,3,32,32,32,32,703479
"Akron, OH",2020-04-14,3,2.857142857142857,3,3,35,35,35,35,703479
"Akron, OH",2020-04-15,2,3,2,2,37,37,37,37,703479
"Akron, OH",2020-04-16,3,3,3,3,40,40,40,40,703479
"Akron, OH",2020-04-17,1,3.142857142857143,1,1,41,41,41,41,703479
"Akron, OH",2020-04-18,3,3.428571428571429,3,3,44,44,44,44,703479
"Akron, OH",2020-04-19,1,2.142857142857143,1,1,45,45,45,45,703479
"Akron, OH",2020-04-20,3,2.142857142857143,3,3,48,48,48,48,703479
"Akron, OH",2020-04-21,10,3.5714285714285716,10,10,58,58,58,58,703479
"Akron, OH",2020-04-22,3,3.7142857142857144,3,3,61,61,61,61,703479
"Akron, OH",2020-04-23,2,3.8571428571428568,2,2,63,63,63,63,703479
