state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
Alabama,2020-03-26,2,1,2,2,3,2,2,2,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-03-27,1,1.2857142857142856,1,1,4,3,3,3,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-03-28,0,1.2857142857142856,0,0,4,3,3,3,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-03-29,1,1.7142857142857142,1,1,5,4,4,4,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-03-30,6,2.4285714285714284,6,6,11,10,10,10,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-03-31,3,3.2857142857142856,3,3,14,13,13,13,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-01,14,4.428571428571429,14,14,28,27,27,27,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-02,4,5.7142857142857135,4,4,32,31,31,31,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-03,6,6.428571428571429,6,6,38,37,37,37,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-04,6,5.571428571428571,6,6,44,43,43,43,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-05,1,6,1,1,45,44,44,44,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-06,8,8.142857142857142,8,8,53,52,52,52,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-07,11,8.428571428571429,11,11,64,63,63,63,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-08,3,8.571428571428571,3,3,67,66,66,66,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-09,11,8.714285714285715,11,11,78,77,77,77,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-10,2,9,2,2,80,79,79,79,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-11,13,6.857142857142858,13,13,93,92,92,92,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-12,0,6.857142857142858,0,0,93,92,92,92,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-13,11,9.714285714285715,11,11,104,103,103,103,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-14,10,10,10,10,114,113,113,113,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-15,9,10.285714285714285,9,9,123,122,122,122,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-16,14,10.714285714285715,14,14,137,136,136,136,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-17,14,11,14,14,151,150,150,150,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-19,13,8.285714285714285,13,13,160,163,163,163,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-20,4,12.142857142857144,4,4,164,167,167,167,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-21,22,12.714285714285715,22,22,186,189,189,189,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-22,NA,12.142857142857142,5.142857142857142,23.57142857142857,NA,201.14285714285714,194.14285714285714,212.57142857142856,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-23,NA,12.571428571428571,5.285714285714286,25.42857142857143,NA,214.42857142857142,202.57142857142858,232.57142857142856,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-24,NA,13.142857142857142,5.428571428571429,26.714285714285715,NA,228.14285714285714,211.71428571428572,253,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-25,NA,13.571428571428571,5.571428571428571,27.857142857142854,NA,242.42857142857144,221.14285714285714,274.7142857142857,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-26,NA,13.857142857142858,5.571428571428571,29.857142857142858,NA,256.85714285714283,230.42857142857142,298.42857142857144,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-27,NA,14.428571428571429,5.571428571428571,31.714285714285715,NA,272.2857142857143,239.85714285714286,323.2857142857143,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-28,NA,14.714285714285714,5.428571428571429,33,NA,287.42857142857144,249.2785714285714,349.42857142857144,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-29,NA,14.857142857142858,5.285714285714286,35.14285714285714,NA,303.14285714285717,257.7142857142857,378.00714285714275,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-04-30,NA,14.857142857142858,5.285714285714286,37.142857142857146,NA,319.14285714285717,265.85714285714283,409.29285714285703,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-01,NA,15.142857142857144,4.857142857142858,39.285714285714285,NA,335.42857142857144,273.85714285714283,442.1499999999999,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-02,NA,15.142857142857142,4.571428571428571,42.292857142857045,NA,351.2857142857143,281.7142857142857,478.2857142857143,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-03,NA,15,4.285714285714286,44.71428571428571,NA,367,288.42857142857144,515.5785714285713,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-04,NA,14.714285714285714,3.857142857142857,47.85714285714286,NA,383,295.27857142857147,557.8571428571429,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-05,NA,14.428571428571429,3.2857142857142856,52.14285714285714,NA,398.2857142857143,300.5642857142857,605.5714285714286,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-06,NA,14.142857142857142,2.857142857142857,55.714285714285715,NA,413.42857142857144,305.2857142857143,655.1499999999999,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-07,NA,13.428571428571429,2.571428571428571,58.57857142857132,NA,427.85714285714283,309.2857142857143,711.7357142857139,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-08,NA,13,2.142857142857143,63.435714285714184,NA,442.2857142857143,312.7142857142857,771.4285714285714,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-09,NA,12.571428571428571,1.7142857142857144,67.292857142857045,NA,455.57142857142856,315.85714285714283,832.471428571428,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-10,NA,12,1.4285714285714286,73.86428571428561,NA,468.57142857142856,318.85,900.2999999999998,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-11,NA,11.428571428571427,1.2857142857142856,78.292857142857045,NA,480.7142857142857,321,976.6142857142851,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-12,NA,10.857142857142858,1,85.72142857142846,NA,492.6428571428571,322.57142857142856,1060.8642857142856,4903185,0.2947,0.4723,0.5694,0.6976
Alabama,2020-05-13,NA,10.285714285714285,0.7142857142857143,89.57857142857134,NA,504.2857142857143,324,1154.592857142857,4903185,0.2947,0.4723,0.5694,0.6976
Alaska,2020-03-27,1,0.2857142857142857,1,1,1,1,1,1,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-03-28,0,0,0,0,1,1,1,1,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-03-29,1,0,1,1,2,2,2,2,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-03-30,0,0.2857142857142857,0,0,2,2,2,2,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-03-31,0,0.2857142857142857,0,0,2,2,2,2,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-01,0,0.2857142857142857,0,0,2,2,2,2,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-02,0,0.2857142857142857,0,0,2,2,2,2,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-03,0,0.2857142857142857,0,0,2,2,2,2,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-04,3,0,3,3,5,5,5,5,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-05,1,0,1,1,6,6,6,6,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-07,0,0,0,0,4,6,6,6,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-08,1,0,1,1,5,7,7,7,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-09,0,0,0,0,5,7,7,7,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-10,0,0,0,0,5,7,7,7,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-11,1,0,1,1,6,8,8,8,731545,0.748,0.7602,0.7702,0.7949
Alaska,2020-04-12,0,0,0,0,6,8,8,8,731545,0.748,0.7602,0.7702,0.7949
