date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
2020-03-01,2,2,2,2,2,2,2,2,0.92,0.92,0.92,0.92
2020-03-02,3,3,3,3,5,5,5,5,0.92,0.92,0.92,0.92
2020-03-03,4,4,4,4,9,9,9,9,0.92,0.92,0.92,0.92
2020-03-04,1,1,1,1,10,10,10,10,0.92,0.92,0.92,0.92
2020-03-05,0,0,0,0,10,10,10,10,0.92,0.92,0.92,0.92
2020-03-06,1,1,1,1,11,11,11,11,0.92,0.92,0.92,0.92
2020-03-07,4,4,4,4,15,15,15,15,0.92,0.92,0.92,0.92
2020-03-08,3,3,3,3,18,18,18,18,0.92,0.92,0.92,0.92
2020-03-09,3,3,3,3,21,21,21,21,0.92,0.92,0.92,0.92
2020-03-10,3,3,3,3,24,24,24,24,0.92,0.92,0.92,0.92
2020-03-11,5,5,5,5,29,29,29,29,0.92,0.92,0.92,0.92
2020-03-12,4,4,4,4,33,33,33,33,0.92,0.92,0.92,0.92
2020-03-13,6,6,6,6,39,39,39,39,0.92,0.92,0.92,0.92
2020-03-14,3,3,3,3,42,42,42,42,0.92,0.92,0.92,0.92
2020-03-15,7,7,7,7,49,49,49,49,0.92,0.92,0.92,0.92
2020-03-16,13,13,13,13,62,62,62,62,0.92,0.92,0.92,0.92
2020-03-17,20,20,20,20,82,82,82,82,0.92,0.92,0.92,0.92
2020-03-18,33,33,33,33,115,115,115,115,0.92,0.92,0.92,0.92
2020-03-19,43,43,43,43,158,158,158,158,0.92,0.92,0.92,0.92
2020-03-20,57,57,57,57,215,215,215,215,0.92,0.92,0.92,0.92
2020-03-21,71,71,71,71,286,286,286,286,0.92,0.92,0.92,0.92
2020-03-22,87,87,87,87,373,373,373,373,0.92,0.92,0.92,0.92
2020-03-23,114,114,114,114,487,487,487,487,0.92,0.92,0.92,0.92
2020-03-24,196,196,196,196,683,683,683,683,0.92,0.92,0.92,0.92
2020-03-25,251,251,251,251,934,934,934,934,0.92,0.92,0.92,0.92
2020-03-26,279,279,279,279,1213,1213,1213,1213,0.92,0.92,0.92,0.92
2020-03-27,370,370,370,370,1583,1583,1583,1583,0.92,0.92,0.92,0.92
2020-03-28,487,487,487,487,2070,2070,2070,2070,0.92,0.92,0.92,0.92
2020-03-29,273,273,273,273,2343,2343,2343,2343,0.92,0.92,0.92,0.92
2020-03-30,489,489,489,489,2832,2832,2832,2832,0.92,0.92,0.92,0.92
2020-03-31,725,725,725,725,3557,3557,3557,3557,0.92,0.92,0.92,0.92
2020-04-01,915,915,915,915,4472,4472,4472,4472,0.92,0.92,0.92,0.92
2020-04-02,960,960,960,960,5432,5432,5432,5432,0.92,0.92,0.92,0.92
2020-04-03,1630,1630,1630,1630,7062,7062,7062,7062,0.92,0.92,0.92,0.92
2020-04-04,1364,1364,1364,1364,8426,8426,8426,8426,0.92,0.92,0.92,0.92
2020-04-05,1153,1153,1153,1153,9579,9579,9579,9579,0.92,0.92,0.92,0.92
2020-04-06,2048,2048,2048,2048,11627,11627,11627,11627,0.92,0.92,0.92,0.92
2020-04-07,1249,1249,1249,1249,12876,12876,12876,12876,0.92,0.92,0.92,0.92
2020-04-08,1834,1834,1834,1834,14710,14710,14710,14710,0.92,0.92,0.92,0.92
2020-04-09,1888,1888,1888,1888,16598,16598,16598,16598,0.92,0.92,0.92,0.92
2020-04-10,2028,2028,2028,2028,18626,18626,18626,18626,0.92,0.92,0.92,0.92
2020-04-11,1860,1860,1860,1860,20486,20486,20486,20486,0.92,0.92,0.92,0.92
2020-04-12,1477,1477,1477,1477,21963,21963,21963,21963,0.92,0.92,0.92,0.92
2020-04-13,1549,1549,1549,1549,23512,23512,23512,23512,0.92,0.92,0.92,0.92
2020-04-14,2473,2473,2473,2473,25985,25985,25985,25985,0.92,0.92,0.92,0.92
2020-04-15,2498,2498,2498,2498,28483,28483,28483,28483,0.92,0.92,0.92,0.92
2020-04-16,2201,2201,2201,2201,30684,30684,30684,30684,0.92,0.92,0.92,0.92
2020-04-17,2092,2092,2092,2092,32776,32776,32776,32776,0.92,0.92,0.92,0.92
2020-04-18,1841,1841,1841,1841,34617,34617,34617,34617,0.92,0.92,0.92,0.92
2020-04-19,1402,1402,1402,1402,36019,36019,36019,36019,0.92,0.92,0.92,0.92
2020-04-20,1685,1685,1685,1685,37704,37704,37704,37704,0.92,0.92,0.92,0.92
2020-04-21,2520,2520,2520,2520,40224,40224,40224,40224,0.92,0.92,0.92,0.92
2020-04-22,2179,2179,2179,2179,42403,42403,42403,42403,0.92,0.92,0.92,0.92
2020-04-23,2024,2024,2024,2024,44427,44427,44427,44427,0.92,0.92,0.92,0.92
2020-04-24,1980,1980,1980,1980,46407,46407,46407,46407,0.92,0.92,0.92,0.92
2020-04-25,1832,1832,1832,1832,48239,48239,48239,48239,0.92,0.92,0.92,0.92
2020-04-26,1130,1130,1130,1130,49369,49369,49369,49369,0.92,0.92,0.92,0.92
2020-04-27,1372,1372,1372,1372,50741,50741,50741,50741,0.92,0.92,0.92,0.92
2020-04-28,2197,2197,2197,2197,52938,52938,52938,52938,0.92,0.92,0.92,0.92
2020-04-29,2365,2365,2365,2365,55303,55303,55303,55303,0.92,0.92,0.92,0.92
2020-04-30,2171,2171,2171,2171,57474,57474,57474,57474,0.92,0.92,0.92,0.92
2020-05-01,1822,1822,1822,1822,59296,59296,59296,59296,0.92,0.92,0.92,0.92
2020-05-02,1688,1688,1688,1688,60984,60984,60984,60984,0.92,0.92,0.92,0.92
2020-05-03,1062,1062,1062,1062,62046,62046,62046,62046,0.92,0.92,0.92,0.92
2020-05-04,NA,1592.4285714285716,1333.5714285714284,1910.5714285714287,NA,63638.42857142857,63379.57142857143,63956.57142857143,0.92,0.92,0.92,0.92
2020-05-05,NA,1523.857142857143,1266.7,1842.142857142857,NA,65168.28571428572,64736.84285714286,65681.74285714286,0.92,0.92,0.92,0.92
2020-05-06,NA,1457.142857142857,1205.85,1768.435714285714,NA,66635.14285714286,66031,67321.30714285714,0.92,0.92,0.92,0.92
2020-05-07,NA,1392.142857142857,1143.142857142857,1710.0071428571428,NA,68033.07142857142,67256.12142857142,68919,0.92,0.92,0.92,0.92
2020-05-08,NA,1325.7142857142858,1079.8428571428572,1639.7285714285713,NA,69368.85714285714,68401.97142857143,70462.45,0.92,0.92,0.92,0.92
2020-05-09,NA,1270.0714285714284,1012.9928571428571,1587.0071428571428,NA,70645.07142857142,69485.97142857143,71950.42857142857,0.92,0.92,0.92,0.92
2020-05-10,NA,1211.7142857142858,957.5642857142858,1541.1642857142854,NA,71859.42857142857,70507.99285714286,73414.15714285713,0.92,0.92,0.92,0.92
2020-05-11,NA,1164.7142857142858,898.85,1507.2857142857142,NA,73031.14285714286,71445.06428571428,74853.07142857142,0.92,0.92,0.92,0.92
2020-05-12,NA,1118,843.85,1474.5785714285714,NA,74160.42857142858,72356.41428571429,76262.87857142858,0.92,0.92,0.92,0.92
2020-05-13,NA,1073.4285714285716,792.5642857142858,1460,NA,75243.28571428571,73196.27857142856,77654.9,0.92,0.92,0.92,0.92
2020-05-14,NA,1033,744.7071428571429,1441.1785714285709,NA,76275.5,73980.14285714286,79032.05714285714,0.92,0.92,0.92,0.92
2020-05-15,NA,994.8571428571429,697.7,1435.435714285714,NA,77273.64285714287,74701.11428571428,80414.14285714287,0.92,0.92,0.92,0.92
2020-05-16,NA,966.6428571428572,653.4285714285714,1445.1857142857136,NA,78240.35714285713,75385.81428571428,81784.71428571429,0.92,0.92,0.92,0.92
2020-05-17,NA,940.2857142857142,613.7071428571428,1469.1571428571426,NA,79188.78571428571,76038.3857142857,83200.17857142858,0.92,0.92,0.92,0.92
2020-05-18,NA,921.7142857142857,576,1516.8714285714284,NA,80108.35714285713,76644,84674.12142857142,0.92,0.92,0.92,0.92
2020-05-19,NA,903.8571428571429,539.4285714285714,1563.735714285714,NA,81033.85714285714,77229.9857142857,86116.02142857143,0.92,0.92,0.92,0.92
2020-05-20,NA,889.2857142857142,511.2714285714286,1649.9071428571422,NA,81933.35714285713,77800.57142857143,87723.99285714285,0.92,0.92,0.92,0.92
2020-05-21,NA,887.9285714285714,486.14285714285717,1769.7499999999995,NA,82818.42857142858,78315.52142857145,89419.3857142857,0.92,0.92,0.92,0.92
2020-05-22,NA,886.7142857142857,458.9642857142857,1900.0071428571428,NA,83729.35714285714,78805.37857142858,91260.32857142856,0.92,0.92,0.92,0.92
2020-05-23,NA,900.0714285714286,440.4214285714286,2156.4928571428563,NA,84659.78571428571,79285.59999999999,93245.11428571428,0.92,0.92,0.92,0.92
2020-05-24,NA,926.8571428571429,423,2521.321428571428,NA,85626.5,79781.55,95581.62142857142,0.92,0.92,0.92,0.92
2020-05-25,NA,942,399.5571428571428,2942.9214285714274,NA,86610,80234.61428571428,98377.90714285712,0.92,0.92,0.92,0.92
