msa,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
"Abilene, TX",2020-04-04,1,0,1,1,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-05,0,0,0,0,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-06,0,0,0,0,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-07,0,0,0,0,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-08,0,0,0,0,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-09,0,0,0,0,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-10,0,0,0,0,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-11,0,0,0,0,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-12,0,0,0,0,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-13,0,0,0,0,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-14,0,0,0,0,1,1,1,1,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-15,1,0,1,1,2,2,2,2,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-16,0,0,0,0,2,2,2,2,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-17,0,0,0,0,2,2,2,2,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-18,0,0,0,0,2,2,2,2,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-19,0,0,0,0,2,2,2,2,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-20,0,0,0,0,2,2,2,2,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-21,1,0,1,1,3,3,3,3,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-23,1,0,1,1,3,4,4,4,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-24,0,0,0,0,3,4,4,4,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-25,0,0,0,0,3,4,4,4,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-26,0,0,0,0,3,4,4,4,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-27,0,0,0,0,3,4,4,4,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-28,0,0,0,0,3,4,4,4,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-29,2,0,2,2,5,6,6,6,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-04-30,0,0,0,0,5,6,6,6,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-01,0,0,0,0,5,6,6,6,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-02,0,0,0,0,5,6,6,6,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-03,0,0,0,0,5,6,6,6,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-04,0,0,0,0,5,6,6,6,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-05,1,0,1,1,6,7,7,7,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-06,NA,0,0,1.4285714285714286,NA,7,7,8.428571428571429,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-07,NA,0,0,1.4285714285714286,NA,7.571428571428571,7,9.142857142857142,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-08,NA,0,0,1.4285714285714286,NA,7.714285714285714,7,10.142857142857142,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-09,NA,0,0,1.4285714285714286,NA,8.285714285714286,7,11.142857142857142,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-10,NA,0,0,1.7142857142857144,NA,8.571428571428571,7,12,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-11,NA,0,0,1.7142857142857144,NA,9,7,13,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-12,NA,0.2857142857142857,0,2,NA,9.428571428571429,7.285714285714286,14.142857142857142,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-13,NA,0.2857142857142857,0,2.142857142857143,NA,9.857142857142858,7.285714285714286,15.428571428571429,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-14,NA,0.2857142857142857,0,2.142857142857143,NA,10.428571428571429,7.571428571428571,16.714285714285715,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-15,NA,0.2857142857142857,0,2.292857142857169,NA,11,7.714285714285714,18.285714285714285,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-16,NA,0.5714285714285714,0,2.4357142857143113,NA,11.571428571428571,8,19.857142857142858,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-17,NA,0.7142857142857143,0,2.857142857142857,NA,12.285714285714286,8,21.714285714285715,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-18,NA,0.7142857142857143,0,3.142857142857143,NA,13,8.428571428571429,23.857142857142858,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-19,NA,0.7142857142857143,0,3.5714285714285716,NA,13.857142857142858,8.714285714285714,26.285714285714285,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-20,NA,0.7142857142857143,0,3.857142857142857,NA,14.857142857142858,9,29.142857142857142,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-21,NA,0.7142857142857143,0,4.428571428571429,NA,16,9.285714285714286,32.57142857142857,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-22,NA,1,0,5,NA,17.142857142857142,9.714285714285714,36.57142857142857,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-23,NA,1,0,5.714285714285714,NA,18.428571428571427,10,40.857142857142854,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-24,NA,1.2857142857142856,0,6.428571428571429,NA,20,10.428571428571429,46.00714285714288,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-25,NA,1.4285714285714286,0,7.142857142857142,NA,21.571428571428573,11,51.57142857142857,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-26,NA,1.5714285714285714,0,8.428571428571429,NA,23.428571428571427,11.428571428571429,58.30000000000005,172060,0.1963,0.2213,0.2428,0.3105
"Abilene, TX",2020-05-27,NA,1.7142857142857144,0,10.285714285714285,NA,25.42857142857143,12,67.00714285714288,172060,0.1963,0.2213,0.2428,0.3105
"Akron, OH",2020-03-27,3,0.7142857142857143,3,3,3,3,3,3,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-03-28,1,0.7142857142857143,1,1,4,4,4,4,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-03-29,1,0.7142857142857143,1,1,5,5,5,5,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-03-30,1,0.7142857142857143,1,1,6,6,6,6,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-03-31,0,1,0,0,6,6,6,6,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-01,2,1,2,2,8,8,8,8,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-02,1,1.2142857142857142,1,1,9,9,9,9,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-03,1,1.2857142857142856,1,1,10,10,10,10,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-04,0,1.4285714285714286,0,0,10,10,10,10,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-05,3,1,3,3,13,13,13,13,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-06,2,1.1428571428571428,2,2,15,15,15,15,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-07,4,1.7142857142857144,4,4,19,19,19,19,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-08,1,2,1,1,20,20,20,20,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-09,6,2,6,6,26,26,26,26,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-10,1,2.2857142857142856,1,1,27,27,27,27,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-11,1,2.4285714285714284,1,1,28,28,28,28,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-12,1,1.7142857142857144,1,1,29,29,29,29,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-13,3,1.7142857142857144,3,3,32,32,32,32,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-14,3,2.8571428571428568,3,3,35,35,35,35,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-15,2,2.857142857142857,2,2,37,37,37,37,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-16,3,3,3,3,40,40,40,40,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-17,1,3.142857142857143,1,1,41,41,41,41,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-18,3,3.142857142857143,3,3,44,44,44,44,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-19,1,2.142857142857143,1,1,45,45,45,45,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-20,3,2.142857142857143,3,3,48,48,48,48,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-21,10,3.428571428571429,10,10,58,58,58,58,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-22,3,3.571428571428571,3,3,61,61,61,61,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-23,2,3.571428571428571,2,2,63,63,63,63,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-24,3,3.5714285714285716,3,3,66,66,66,66,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-25,0,3.7142857142857144,0,0,66,66,66,66,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-26,3,2.142857142857143,3,3,69,69,69,69,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-27,3,2.142857142857143,3,3,72,72,72,72,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-28,6,3.7142857142857144,6,6,78,78,78,78,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-29,10,3.7142857142857144,10,10,88,88,88,88,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-04-30,1,3.7142857142857144,1,1,89,89,89,89,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-01,1,3.7142857142857144,1,1,90,90,90,90,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-02,8,3.857142857142857,8,8,98,98,98,98,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-03,1,2.142857142857143,1,1,99,99,99,99,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-04,1,2.142857142857143,1,1,100,100,100,100,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-05,9,3.8571428571428568,9,9,109,109,109,109,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-06,NA,3.428571428571429,0.7142857142857143,9.142857142857142,NA,112.42857142857143,109.71428571428571,118.14285714285714,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-07,NA,3.428571428571429,0.7142857142857143,9.285714285714285,NA,116.14285714285714,111.42857142857143,124.71428571428571,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-08,NA,3.428571428571429,0.7142857142857143,9.578571428571456,NA,120,113.71428571428571,131.28571428571428,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-09,NA,3.5714285714285716,0.7142857142857143,9.857142857142858,NA,124.14285714285714,116.14285714285714,138.28571428571428,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-10,NA,3.7142857142857144,0.7142857142857143,10.428571428571429,NA,128.28571428571428,118.57142857142857,145.28571428571428,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-11,NA,3.857142857142857,0.7142857142857143,11.142857142857142,NA,132.85714285714286,121.14285714285714,152.57142857142858,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-12,NA,4.142857142857143,0.7142857142857143,11.578571428571456,NA,137.42857142857142,123.85714285714286,160.57142857142858,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-13,NA,4.428571428571429,0.8571428571428571,12.714285714285714,NA,142.14285714285714,126.57142857142857,169.85714285714286,703479,0.1733,0.2087,0.246,0.3528
"Akron, OH",2020-05-14,NA,4.571428571428571,0.9928571428571412,13.428571428571429,NA,147.28571428571428,129.42857142857142,179.4357142857143,703479,0.1733,0.2087,0.246,0.3528
