date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper
2020-06-19,NA,557.5714285714286,436.8982142857143,1085.2785714285715,NA,117527.46428571429,116005.90357142857,121601.15
2020-06-20,NA,547.9642857142858,422.1428571428571,1118.3107142857143,NA,118070.71428571429,116479.52321428571,122573.03928571429
2020-06-21,NA,542.6428571428571,417,1040.8660714285716,NA,118608.71428571429,116961.55714285714,123613.38928571428
2020-06-22,NA,536.9285714285714,415.6410714285714,1144.35,NA,119130.17857142857,117415.78214285715,124445.64107142857
2020-06-23,NA,532.75,407.9017857142857,1125.7875,NA,119659.96428571429,117874.4982142857,125543.94464285715
2020-06-24,NA,530,414.5571428571429,1182.8982142857142,NA,120181.35714285714,118320.41964285714,126900.22857142857
2020-06-25,NA,526.5,402.70178571428573,1130.2071428571428,NA,120708.46428571429,118774.1892857143,127805.44464285714
2020-06-26,NA,524.3571428571429,409.53392857142853,1182.7214285714285,NA,121242.28571428571,119245.71607142857,129275.28571428571
2020-06-27,NA,524.2857142857143,403.76964285714286,1170.9,NA,121752.39285714286,119682.09821428571,130564.02142857143
2020-06-28,NA,526.2142857142857,405.2142857142857,1240.732142857143,NA,122277.78571428571,120162.67857142858,132176.36428571428
2020-06-29,NA,529.9285714285714,402.2839285714286,1187.430357142857,NA,122803.03571428571,120632.65178571429,133390.0267857143
