date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
2020-03-02,5,5,5,5,5,5,5,5,0.993,0.993,0.993,0.993
2020-03-03,1,1,1,1,6,6,6,6,0.993,0.993,0.993,0.993
2020-03-04,3,3,3,3,9,9,9,9,0.993,0.993,0.993,0.993
2020-03-05,1,1,1,1,10,10,10,10,0.993,0.993,0.993,0.993
2020-03-06,2,2,2,2,12,12,12,12,0.993,0.993,0.993,0.993
2020-03-07,3,3,3,3,15,15,15,15,0.993,0.993,0.993,0.993
2020-03-08,2,2,2,2,17,17,17,17,0.993,0.993,0.993,0.993
2020-03-09,1,1,1,1,18,18,18,18,0.993,0.993,0.993,0.993
2020-03-10,4,4,4,4,22,22,22,22,0.993,0.993,0.993,0.993
2020-03-11,2,2,2,2,24,24,24,24,0.993,0.993,0.993,0.993
2020-03-12,7,7,7,7,31,31,31,31,0.993,0.993,0.993,0.993
2020-03-13,7,7,7,7,38,38,38,38,0.993,0.993,0.993,0.993
2020-03-14,2,2,2,2,40,40,40,40,0.993,0.993,0.993,0.993
2020-03-15,8,8,8,8,48,48,48,48,0.993,0.993,0.993,0.993
2020-03-16,22,22,22,22,70,70,70,70,0.993,0.993,0.993,0.993
2020-03-17,29,29,29,29,99,99,99,99,0.993,0.993,0.993,0.993
2020-03-18,49,49,49,49,148,148,148,148,0.993,0.993,0.993,0.993
2020-03-19,73,73,73,73,221,221,221,221,0.993,0.993,0.993,0.993
2020-03-20,93,93,93,93,314,314,314,314,0.993,0.993,0.993,0.993
2020-03-21,86,86,86,86,400,400,400,400,0.993,0.993,0.993,0.993
2020-03-22,138,138,138,138,538,538,538,538,0.993,0.993,0.993,0.993
2020-03-23,184,184,184,184,722,722,722,722,0.993,0.993,0.993,0.993
2020-03-24,227,227,227,227,949,949,949,949,0.993,0.993,0.993,0.993
2020-03-25,306,306,306,306,1255,1255,1255,1255,0.993,0.993,0.993,0.993
2020-03-26,409,409,409,409,1664,1664,1664,1664,0.993,0.993,0.993,0.993
2020-03-27,536,536,536,536,2200,2200,2200,2200,0.993,0.993,0.993,0.993
2020-03-28,621,621,621,621,2821,2821,2821,2821,0.993,0.993,0.993,0.993
2020-03-29,632,632,632,632,3453,3453,3453,3453,0.993,0.993,0.993,0.993
2020-03-30,800,800,800,800,4253,4253,4253,4253,0.993,0.993,0.993,0.993
2020-03-31,1212,1212,1212,1212,5465,5465,5465,5465,0.993,0.993,0.993,0.993
2020-04-01,1200,1200,1200,1200,6665,6665,6665,6665,0.993,0.993,0.993,0.993
2020-04-02,1549,1549,1549,1549,8214,8214,8214,8214,0.993,0.993,0.993,0.993
2020-04-03,1284,1284,1284,1284,9498,9498,9498,9498,0.993,0.993,0.993,0.993
2020-04-04,1258,1258,1258,1258,10756,10756,10756,10756,0.993,0.993,0.993,0.993
2020-04-05,1408,1408,1408,1408,12164,12164,12164,12164,0.993,0.993,0.993,0.993
2020-04-06,1648,1648,1648,1648,13812,13812,13812,13812,0.993,0.993,0.993,0.993
2020-04-07,2296,2296,2296,2296,16108,16108,16108,16108,0.993,0.993,0.993,0.993
