state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
Alabama,2020-03-27,3,1.5714285714285714,3,3,4,3,3,3,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-03-28,0,1.8571428571428572,0,0,4,3,3,3,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-03-29,6,1.7142857142857144,6,6,10,9,9,9,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-03-30,0,2,0,0,10,9,9,9,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-03-31,13,3,13,13,23,22,22,22,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-01,4,3.428571428571429,4,4,27,26,26,26,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-02,5,4,5,5,32,31,31,31,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-03,6,4.571428571428571,6,6,38,37,37,37,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-04,6,5.428571428571429,6,6,44,43,43,43,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-05,1,4.571428571428571,1,1,45,44,44,44,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-06,4,5.142857142857142,4,4,49,48,48,48,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-07,15,7.714285714285714,15,15,64,63,63,63,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-08,2,8.285714285714286,2,2,66,65,65,65,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-09,4,8.857142857142858,4,4,70,69,69,69,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-10,10,9.142857142857142,10,10,80,79,79,79,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-11,12,9.571428571428571,12,12,92,91,91,91,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-12,1,6.714285714285714,1,1,93,92,92,92,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-13,6,6.714285714285714,6,6,99,98,98,98,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-14,15,9.714285714285714,15,15,114,113,113,113,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-15,4,9.857142857142858,4,4,118,117,117,117,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-16,15,9.714285714285714,15,15,133,132,132,132,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-17,15,9.285714285714286,15,15,148,147,147,147,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-18,5,9.571428571428571,5,5,153,152,152,152,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-19,4,6.428571428571429,4,4,157,156,156,156,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-20,6,6.571428571428571,6,6,163,162,162,162,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-21,20,10.142857142857144,20,20,183,182,182,182,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-22,13,10.428571428571427,13,13,196,195,195,195,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-23,6,10.571428571428571,6,6,202,201,201,201,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-24,7,10.857142857142858,7,7,209,208,208,208,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-25,0,11.142857142857142,0,0,209,208,208,208,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-26,10,7.142857142857142,10,10,219,218,218,218,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-27,9,7.285714285714286,9,9,228,227,227,227,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-28,14,12,14,14,242,241,241,241,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-29,14,12.285714285714285,14,14,256,255,255,255,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-04-30,16,12.285714285714285,16,16,272,271,271,271,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-01,17,12.714285714285715,17,17,289,288,288,288,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-03,2,8,2,2,290,290,290,290,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-04,8,8.142857142857142,8,8,298,298,298,298,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-05,17,14.142857142857142,17,17,315,315,315,315,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-06,28,14.571428571428571,28,28,343,343,343,343,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-07,NA,13.142857142857142,4.714285714285714,28.864285714285742,NA,356.14285714285717,347.7142857142857,371.8642857142857,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-08,NA,13.428571428571429,4.714285714285714,30.57142857142857,NA,370.57142857142856,356,395.8571428571429,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-09,NA,13.714285714285715,4.857142857142858,30.57142857142857,NA,385.2857142857143,365.42857142857144,418.85714285714283,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-10,NA,14.285714285714285,5,32.721428571428596,NA,400.42857142857144,375.1357142857143,443,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-11,NA,15,5.142857142857142,36.14285714285714,NA,416.57142857142856,385.42857142857144,469.4357142857143,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-12,NA,15.714285714285714,5.428571428571429,38.285714285714285,NA,433.57142857142856,395.4214285714286,500.72142857142865,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-13,NA,16.5,5.571428571428571,41.714285714285715,NA,451,405.57142857142856,533.2857142857143,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-14,NA,17.28571428571429,5.428571428571429,46.43571428571431,NA,470.07142857142856,415.2785714285714,570.1428571428571,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-15,NA,18.285714285714285,5.571428571428571,50.857142857142854,NA,490.2857142857143,426,613.2857142857142,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-16,NA,19.285714285714285,5.857142857142858,55.15000000000003,NA,509.92857142857144,435.84999999999997,657.5785714285714,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-17,NA,20.285714285714285,6,62.00714285714288,NA,532.7142857142857,446.7142857142857,710.4285714285714,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-18,NA,21.42857142857143,6.285714285714286,70.29285714285717,NA,556.1428571428571,456.2785714285714,773.7214285714286,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-19,NA,22.71428571428571,6,78.7214285714286,NA,580.1428571428571,467.42857142857144,846.0285714285716,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-20,NA,23.42857142857143,6.285714285714286,89.15000000000003,NA,604.3571428571429,476.85,918.6642857142859,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-21,NA,24,5.7142857142857135,93.15000000000002,NA,630.4285714285714,485.85714285714283,1001.3000000000002,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-22,NA,24.714285714285715,5.571428571428571,105.45000000000009,NA,658.5,495,1095.8857142857146,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-23,NA,25.142857142857146,5.142857142857142,115.29285714285716,NA,686.0714285714286,504.14285714285717,1202.3214285714287,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-24,NA,25.142857142857146,4.714285714285714,124.58571428571435,NA,713.0714285714286,511.14285714285717,1318.0142857142864,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-25,NA,25.285714285714285,4.571428571428571,142.87857142857152,NA,742.0714285714286,518.5642857142857,1448.9000000000003,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-26,NA,24.571428571428573,3.857142857142857,154.58571428571432,NA,769.5714285714286,523.5714285714286,1576.414285714286,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-27,NA,24.428571428571427,3.428571428571429,167.57142857142856,NA,795.7142857142857,529.1285714285714,1756.5857142857146,4903185,0.2057,0.2617,0.3178,0.4607
Alabama,2020-05-28,NA,23.142857142857142,2.857142857142857,179.29285714285717,NA,820.3571428571429,533.5571428571428,1919.6571428571438,4903185,0.2057,0.2617,0.3178,0.4607
Alaska,2020-03-25,1,0.2857142857142857,1,1,1,1,1,1,731545,0.3527,0.365,0.3807,0.4363
Alaska,2020-03-26,0,0.2857142857142857,0,0,1,1,1,1,731545,0.3527,0.365,0.3807,0.4363
Alaska,2020-03-27,0,0,0,0,1,1,1,1,731545,0.3527,0.365,0.3807,0.4363
Alaska,2020-03-28,1,0,1,1,2,2,2,2,731545,0.3527,0.365,0.3807,0.4363
